seconds,data
0.0,573522
0.09,578243
0.183,585361
0.309,595103
0.391,604951
0.526,588542
0.606,587726
0.696,595230
0.817,574143
0.911,546667
1.023,551077
1.122,569639
1.208,557634
1.324,575446
1.424,577653
1.536,545910
1.636,546991
1.719,546692
1.833,534493
1.925,545336
2.042,589332
2.138,610646
2.226,622955
2.348,632932
2.433,650389
2.547,663394
2.644,655495
2.745,645009
2.858,618341
2.939,627575
3.062,611652
3.168,592436
3.246,607521
3.36,607880
3.45,600555
3.568,596711
3.659,616620
3.761,593888
3.878,544710
3.963,562076
4.088,582915
4.17,566181
4.263,564998
4.388,568675
4.483,563826
4.592,563734
4.689,570496
4.773,548668
4.901,504379
4.989,495907
5.105,570784
5.198,545416
5.284,500289
5.412,537710
5.497,560943
5.62,535470
5.71,510240
5.796,549656
5.927,574248
5.994,581814
6.131,590046
6.219,596247
6.306,604361
6.431,612834
6.518,617425
6.643,612902
6.728,609284
6.817,596656
6.927,581100
7.029,579067
7.148,575455
7.229,562281
7.325,532212
7.454,524676
7.54,544862
7.654,533740
7.747,495013
7.837,501052
7.962,525136
8.052,540726
8.165,489082
8.251,491115
8.347,499842
8.475,495530
8.562,495634
8.683,492254
8.769,502032
8.859,516532
8.986,543024
9.063,553229
9.196,565227
9.274,578070
9.355,589092
9.474,602389
9.576,617424
9.697,639038
9.792,645406
9.878,648892
10.003,651889
10.087,642888
10.204,613087
10.293,585691
10.394,574482
10.505,580336
10.603,560900
10.712,562963
10.817,561956
10.894,564921
11.008,563699
11.098,554760
11.226,552795
11.311,555355
11.41,560197
11.522,564736
11.617,563963
11.73,559781
11.818,554914
11.912,550937
12.032,523425
12.118,524592
12.244,543392
12.342,556799
12.421,555301
12.549,546710
12.626,552229
12.759,603207
12.838,602863
12.934,605071
13.064,615316
13.149,600988
13.272,595485
13.356,616704
13.444,617312
13.57,606422
13.65,610539
13.783,602888
13.869,595472
13.958,612527
14.08,620728
14.163,613797
14.276,623499
14.365,608976
14.459,604162
14.577,623358
14.677,622344
14.803,605518
14.883,603054
14.979,606478
15.098,607579
15.187,611131
15.304,608798
15.4,613460
15.484,623030
15.603,619714
15.697,619300
15.814,627823
15.913,626347
15.991,639045
16.116,640491
16.204,602005
16.328,591379
16.425,623122
16.501,620267
16.627,619150
16.724,650785
16.84,652780
16.93,632895
17.011,623779
17.136,620845
17.24,619014
17.337,621224
17.443,618298
17.531,605494
17.648,609742
17.735,622125
17.857,611965
17.93,612754
18.037,638547
18.147,646896
18.258,656017
18.364,671103
18.464,663551
18.546,666101
18.663,667669
18.755,650949
18.872,659107
18.954,671556
19.066,648168
19.171,634614
19.272,644890
19.389,646554
19.479,649158
19.564,633544
19.677,642698
19.776,634164
19.885,619357
19.985,623742
20.072,636050
20.199,627135
20.286,640897
20.41,637417
20.498,641289
20.584,648570
20.704,647965
20.79,659434
20.915,664330
21.004,660268
21.098,638739
21.223,639207
21.3,638594
21.428,632147
21.516,637793
21.602,648653
21.723,648420
21.816,642715
21.948,644928
22.036,632998
22.114,618118
22.236,590548
22.323,570465
22.445,572936
22.532,587923
22.63,593105
22.747,598718
22.841,620811
22.953,621933
23.051,616134
23.139,606076
23.26,603860
23.35,619473
23.467,615563
23.547,629160
23.646,629338
23.767,622166
23.861,609514
23.965,639092
24.07,653174
24.157,600785
24.282,626055
24.372,642454
24.484,601488
24.577,592284
24.667,610946
24.799,592908
24.877,603811
24.992,590715
25.09,593214
25.168,595318
25.292,579057
25.391,572904
25.516,589298
25.599,600580
25.692,580589
25.8,588324
25.898,623749
26.007,617988
26.117,601121
26.195,665304
26.32,661278
26.404,649815
26.532,646799
26.61,622616
26.702,621034
26.826,636399
26.915,639783
27.031,640424
27.121,655990
27.212,670295
27.328,668358
27.426,627731
27.546,625136
27.635,657476
27.731,636080
27.853,645949
27.928,631193
28.059,601521
28.15,594965
28.227,605877
28.346,595656
28.449,595692
28.572,610741
28.655,594570
28.754,605738
28.87,618089
28.95,619874
29.08,609632
29.175,615486
29.261,611091
29.381,616500
29.468,623444
29.585,630671
29.675,626250
29.762,605130
29.884,607739
29.976,630307
