seconds,data
0.0,575248
0.122,575687
0.21,576649
0.301,579781
0.428,585173
0.513,598757
0.626,604508
0.726,610479
0.806,616045
0.937,621479
1.01,626257
1.151,630384
1.227,637147
1.331,638274
1.449,638410
1.539,639132
1.66,639995
1.75,640455
1.832,639662
1.947,638498
2.052,639188
2.154,638914
2.252,639083
2.35,639103
2.467,639625
2.554,637824
2.669,629499
2.769,617601
2.854,616669
2.979,618561
3.058,620636
3.187,622296
3.275,623573
3.363,623528
3.488,623312
3.579,624927
3.698,626187
3.786,627267
3.877,627947
3.996,628754
4.075,629179
4.206,628691
4.295,625987
4.384,625637
4.507,626774
4.585,627856
4.713,628874
4.808,629032
4.902,629268
5.016,629600
5.111,629144
5.23,627736
5.32,626099
5.404,626137
5.524,626912
5.62,627632
5.738,628100
5.833,628242
5.911,628390
6.033,628506
6.119,627897
6.248,626421
6.332,624945
6.438,625440
6.543,626155
6.642,621071
6.748,613663
6.851,607641
6.933,602960
7.05,598866
7.138,594582
7.263,590675
7.347,585921
7.449,584121
7.568,582708
7.649,581420
7.779,580507
7.865,579943
7.962,579596
8.075,578438
8.164,577563
8.281,578099
8.367,578790
8.462,579143
8.588,579711
8.666,580316
8.799,581947
8.882,591277
8.983,596238
9.094,600571
9.19,605331
9.309,610743
9.401,615086
9.481,618881
9.6,625302
9.689,627890
9.817,629571
9.906,630937
9.994,632440
10.115,634856
10.203,636541
10.33,638358
10.415,641684
10.506,641953
10.625,641458
10.716,640518
10.833,639807
10.927,640902
11.015,642708
11.134,646167
11.223,647679
11.35,647740
11.432,646437
11.529,645778
11.644,646855
11.735,647597
11.857,648209
11.946,644664
12.037,634077
12.158,624275
12.247,621309
12.365,621674
12.462,623645
12.54,625659
12.669,628864
12.752,629064
12.881,629289
12.959,629538
13.062,629624
13.174,628542
13.268,626961
13.374,626438
13.481,628202
13.567,628915
13.674,629044
13.765,629177
13.892,629624
13.984,629844
14.081,629156
14.192,626184
14.288,626618
14.398,627484
14.51,628384
14.585,628784
14.698,628926
14.784,629316
14.904,629436
15.002,627092
15.1,625742
15.208,626263
15.31,626243
15.428,621670
15.508,614598
15.601,608517
15.72,600188
15.808,596097
15.931,592252
16.017,589139
16.113,587441
16.242,585862
16.317,584312
16.44,583184
16.528,581353
16.617,581024
16.739,580438
16.831,579507
16.956,578732
17.042,579374
17.127,580051
17.251,583821
17.337,588813
17.468,594723
17.556,600425
17.641,605227
17.767,608940
17.854,612059
17.97,616153
18.069,622144
18.151,624782
18.276,627446
18.364,629969
18.485,631670
18.578,632689
18.667,633437
18.786,636740
18.877,638394
18.999,639995
19.084,640944
19.173,641029
19.286,638707
19.385,636654
19.511,637186
19.6,642251
19.682,644806
19.804,646892
19.902,647231
20.023,645925
20.107,644069
20.189,642354
20.319,643463
20.407,644346
20.529,645122
20.62,645308
20.714,645637
20.83,645292
20.915,643932
21.022,642261
21.132,642272
21.214,643189
21.342,643956
21.422,644079
21.546,644093
21.634,644417
21.722,644553
21.838,639166
21.943,628986
22.046,622132
22.153,621747
22.238,623127
22.348,623666
22.44,624468
22.566,625890
22.653,625267
22.755,623540
22.854,623014
22.962,624329
23.075,625250
23.163,626078
23.251,626490
23.371,627093
23.461,626891
23.583,625840
23.668,624287
23.772,623816
23.873,624806
23.965,625535
24.096,625590
24.177,615450
24.274,609152
24.389,603982
24.484,599272
24.606,594690
24.702,591228
24.783,588977
24.917,584326
24.998,582450
25.115,581311
25.2,580539
25.301,580129
25.414,579690
25.507,579002
25.627,578764
25.713,580273
25.807,581875
25.927,585500
26.019,590650
26.133,595919
26.226,600351
26.314,603867
26.436,610536
26.524,614574
26.643,617729
26.738,620405
26.827,622767
26.939,624872
27.03,626665
27.157,628915
27.246,630589
27.333,633025
27.461,634975
27.55,636661
27.663,637732
27.755,638459
27.839,637937
27.964,634432
28.046,633905
28.174,634000
28.276,634800
28.358,636853
28.478,638482
28.563,639698
28.679,638589
28.778,637961
28.874,639012
28.991,639766
29.076,640334
29.201,640390
29.28,640445
29.378,640549
29.486,638276
29.603,636850
29.695,637381
29.801,638429
29.885,639294
30.009,639589
30.093,639515
30.21,639706
30.3,639123
30.398,637944
30.506,636017
30.607,630920
30.73,622465
30.82,616887
30.894,617639
31.04,618694
31.113,619980
31.227,621067
31.322,620420
31.416,618500
31.537,617965
31.624,619272
31.748,621205
31.824,621394
31.922,621791
32.032,622127
32.123,621441
32.244,619964
32.346,618667
32.423,619159
32.556,615515
32.64,608928
32.766,603058
32.852,598873
32.951,595404
33.069,592004
33.154,588812
33.273,584666
33.368,583789
33.449,582849
33.577,582126
33.664,581522
33.788,581080
33.873,580915
33.963,580549
34.084,578866
34.172,580024
34.298,583868
34.385,589566
34.479,595398
34.593,600710
34.688,606042
34.803,613957
34.893,616450
34.997,618386
35.1,621333
35.195,623984
35.32,626211
35.402,628237
35.495,630288
35.619,631980
35.705,632550
35.833,633409
35.91,635038
36.008,635992
36.126,636629
36.22,636301
36.335,637502
36.434,637830
36.521,637547
36.634,637883
36.727,639294
36.843,640202
36.935,640810
37.026,640815
37.145,640020
37.243,638611
37.351,637247
37.449,637937
37.532,638858
37.658,639535
37.749,639613
37.856,639619
37.95,639729
38.058,639238
38.16,637914
38.257,636430
38.372,635996
38.467,637026
38.555,637834
38.663,638653
38.758,638786
38.874,639001
38.978,638520
39.057,637283
39.186,635781
39.273,635344
39.395,637145
39.485,637808
39.57,637824
39.684,634967
39.782,626148
39.9,618866
39.999,617454
40.075,617306
40.205,619195
40.293,620913
40.417,621969
40.497,621988
40.597,622087
40.715,621030
40.812,614696
40.924,600288
41.017,596252
41.096,593235
41.221,590274
41.315,587880
41.433,585787
41.523,584100
41.614,582597
41.735,579632
41.825,578062
41.954,578029
42.039,578615
42.124,578483
42.247,579355
42.335,581702
42.459,590676
42.54,595042
42.633,599012
42.76,602805
42.845,607353
42.968,611718
43.046,615589
43.152,618841
43.267,623969
43.351,625744
43.48,626576
43.563,627108
43.649,629228
43.786,631341
43.86,633233
43.993,636193
44.076,636766
44.165,636042
44.287,635042
44.378,634197
44.497,633677
44.592,633264
44.675,635205
44.789,639319
44.888,640617
45.001,640815
45.102,640490
45.189,640032
45.31,641226
45.401,642064
45.52,642544
45.593,642453
45.696,642525
45.807,641561
45.912,640278
46.023,639147
46.117,639869
46.193,640826
46.323,641677
46.41,641661
46.527,641841
46.617,641665
46.72,640624
46.833,639094
46.927,637832
47.058,639652
47.13,640431
47.232,640714
47.342,640660
47.435,639751
47.545,632190
47.646,621445
47.733,616180
47.861,618022
47.942,619037
48.059,620306
48.152,621189
48.238,621675
48.355,621773
48.458,621053
48.575,618693
48.666,618918
48.752,615703
48.887,608932
48.952,602850
49.075,598207
49.165,594527
49.253,587717
49.383,584703
49.478,582564
49.592,581477
49.684,580394
49.765,579577
49.896,578941
49.988,578588
50.108,578738
50.194,578608
50.285,578090
50.405,578230
