seconds,data
0.0,536897
0.085,537778
0.214,537582
0.302,537263
0.391,538119
0.512,542517
0.604,545320
0.724,550114
0.819,555884
0.907,559935
1.016,562830
1.113,564801
1.238,571330
1.366,574172
1.409,577234
1.541,580206
1.628,582424
1.75,583972
1.837,584863
1.917,586407
2.033,589578
2.125,590485
2.246,590492
2.346,588965
2.44,586181
2.559,584645
2.642,584755
2.768,579540
2.857,575792
2.947,571754
3.067,567572
3.157,563311
3.28,559813
3.366,557306
3.459,555032
3.58,551461
3.669,549626
3.788,548811
3.875,548631
3.961,547934
4.089,546544
4.174,545522
4.296,545099
4.387,545480
4.481,545822
4.599,545941
4.682,545927
4.794,546065
4.902,545948
4.988,545215
5.108,545010
5.197,545380
5.32,545574
5.405,545464
5.496,545848
5.607,546347
5.717,546367
5.816,545142
5.919,544378
6.005,544999
6.126,545554
6.208,546375
6.339,546758
6.415,546969
6.523,547413
6.629,547030
6.728,546003
6.84,545910
6.94,546551
7.016,546833
7.134,547408
7.233,547781
7.345,549319
7.437,548998
7.538,547894
7.657,547102
7.743,547561
7.868,547811
7.944,548389
8.038,548802
8.16,549265
8.259,548696
8.369,547540
8.467,547218
8.545,547782
8.676,548096
8.76,548691
8.894,549435
8.976,549272
9.075,548276
9.189,547367
9.284,547878
9.401,548259
9.483,548816
9.58,549229
9.694,549530
9.777,548740
9.906,547545
9.993,547795
10.083,548278
10.207,548717
10.297,549228
10.422,549836
10.508,549297
10.592,548105
10.719,547665
10.804,548449
10.925,548854
11.027,549394
11.111,549584
11.231,550064
11.314,549038
11.437,547814
11.525,547618
11.62,548189
11.731,548642
11.826,549145
11.948,550413
12.036,553066
12.133,556227
12.246,560027
12.337,564527
12.456,570110
12.544,574439
12.638,578230
12.76,585029
12.843,587391
12.968,588710
13.061,590048
13.144,592510
13.259,594273
13.361,596158
13.473,598455
13.566,598364
13.661,597839
13.777,598337
13.866,599586
13.99,600258
14.072,600959
14.168,600912
14.284,598021
14.387,595594
14.492,595075
14.595,594558
14.674,594121
14.795,593255
14.88,591156
14.996,586131
15.098,583335
15.19,580866
15.306,578517
15.402,576101
15.521,573358
15.595,570004
15.692,566966
15.814,560919
15.899,557741
16.027,553921
16.109,550219
16.197,547423
16.32,545379
16.412,543533
16.539,541255
16.623,540724
16.715,540634
16.828,540495
16.927,540046
17.035,539195
17.135,538443
17.224,538896
17.344,539941
17.432,540445
17.556,540791
17.641,541170
17.733,541615
17.858,541486
17.952,540655
18.06,540304
18.153,540813
18.244,541446
18.37,541976
18.458,542252
18.575,542767
18.667,543105
18.746,542815
18.882,540874
18.971,541400
19.086,541690
19.176,542155
19.265,542620
19.384,542912
19.479,543406
19.596,543617
19.685,542643
19.78,541490
19.894,541806
19.986,541984
20.11,542409
20.193,542904
20.289,543016
20.403,543623
20.498,543163
20.622,542176
20.71,541469
20.796,542063
20.911,542388
21.009,542998
21.114,543771
21.221,544229
21.304,543768
21.428,542656
21.519,541833
21.627,542386
21.714,542714
21.806,543253
21.923,543843
22.034,544193
22.146,543941
22.249,543017
22.323,542082
22.446,542513
22.537,542853
22.645,543780
22.746,543953
22.84,544310
22.952,544093
23.049,543119
23.169,542056
23.248,542267
23.338,542498
23.463,543532
23.554,543795
23.674,544204
23.769,544011
23.852,542986
23.977,541848
24.059,542058
24.187,542782
24.27,543290
24.364,543355
24.483,543622
24.581,543392
24.698,542575
24.785,542151
24.871,543692
24.997,549301
25.085,552492
25.207,556307
25.295,560274
25.384,563336
25.508,565946
25.6,568823
25.713,574815
25.807,577677
25.889,580443
26.019,582812
26.105,583800
26.229,584026
26.313,584434
26.409,585958
26.525,588582
26.617,589273
26.738,589407
26.82,588760
26.913,588529
27.038,589998
27.122,591117
27.247,591445
27.326,591530
27.426,590695
27.545,589078
27.636,587379
27.758,586880
27.843,585736
27.936,584202
28.05,579562
28.149,576334
28.271,572140
28.359,567714
28.443,564400
28.565,562404
28.661,560274
28.765,556298
28.88,554065
28.962,551908
29.066,549822
29.169,547660
29.283,544993
29.372,542514
29.471,540993
29.577,539169
29.68,538718
29.784,538264
29.888,538240
29.981,538369
30.098,538362
30.178,537980
30.303,536817
30.388,537614
30.491,537873
30.599,538423
30.697,538897
30.818,539152
30.895,539481
31.0,539787
31.11,538691
31.206,538017
31.323,538773
31.41,538967
31.519,539529
31.628,539995
31.711,540239
31.836,540820
31.914,540442
32.013,539512
32.124,538715
32.228,539352
32.347,539547
32.434,540104
32.525,540491
32.647,541214
32.731,541308
32.855,540764
32.944,539678
33.032,539104
33.152,539800
33.251,539931
33.37,540834
33.463,541107
33.545,541471
33.666,541295
33.759,540423
33.874,539377
33.963,539449
34.053,539834
34.179,540908
34.268,541041
34.392,541297
34.475,541372
34.564,540566
34.691,539411
34.778,539171
34.901,540147
34.982,540740
35.075,540972
35.199,541322
35.288,541467
35.41,540670
35.498,539828
35.59,540916
35.704,546548
35.795,550113
35.927,553687
36.005,557624
36.096,560957
36.21,563420
36.305,566007
36.423,573607
36.519,576957
36.605,579948
36.735,582356
36.814,583456
36.942,583606
37.027,584027
37.114,585596
37.239,588585
37.335,589878
37.445,590471
37.54,590953
37.632,591389
37.742,593351
37.834,595603
37.946,598261
38.057,599007
38.143,597911
38.247,595755
38.35,595366
38.457,596960
38.559,597102
38.647,596474
38.759,592170
38.859,589229
38.972,585416
39.055,582054
39.16,578749
39.277,576366
39.361,573590
39.489,567387
39.576,564299
39.664,561349
39.781,558553
39.864,555822
39.986,552481
40.087,548835
40.17,546794
40.297,545214
40.383,544779
40.508,544406
40.597,544143
40.689,544303
40.806,544335
40.883,544078
41.006,542948
41.093,543453
41.185,544134
41.314,544739
41.397,545254
41.53,545537
41.618,546130
41.71,546720
41.827,546038
41.914,545233
42.038,545698
42.121,545922
42.217,546151
42.341,546052
