seconds,data
0.0,558787
0.088,559397
0.214,565227
0.307,574651
0.432,580944
0.522,592974
0.605,592925
0.731,588931
0.815,578113
0.937,568829
1.027,573919
1.106,585877
1.247,582833
1.324,574209
1.452,563161
1.536,554433
1.627,553119
1.752,559946
1.85,570369
1.967,580577
2.051,587210
2.139,585750
2.263,586924
2.35,592458
2.472,600316
2.556,605927
2.645,607160
2.769,594550
2.86,590941
2.997,590037
3.07,592720
3.167,601021
3.289,605069
3.373,601922
3.497,593943
3.573,588017
3.669,590067
3.783,595448
3.877,598792
3.986,597257
4.089,591855
4.187,584303
4.297,585125
4.391,589088
4.517,594243
4.594,596694
4.692,592506
4.811,584002
4.908,578925
5.024,580797
5.114,588062
5.2,590898
5.32,589512
5.408,583598
5.523,576304
5.611,575161
5.717,578613
5.823,589016
5.92,591982
6.037,587816
6.13,581095
6.208,577165
6.341,580554
6.425,585996
6.549,591134
6.638,601617
6.726,598767
6.845,593502
6.937,589866
7.059,591127
7.141,595215
7.228,600375
7.361,599902
7.449,592440
7.571,585828
7.661,585619
7.74,590411
7.869,595016
7.947,602494
8.078,604584
8.166,594764
8.26,592184
8.378,592978
8.473,597058
8.591,602740
8.678,606319
8.763,605466
8.891,591704
8.987,586489
9.092,586639
9.196,592360
9.276,600010
9.4,599869
9.49,593705
9.614,585876
9.703,577843
9.781,584221
9.913,591654
9.986,593424
10.12,588165
10.203,582623
10.292,581942
10.414,590424
10.509,594919
10.633,600736
10.717,606548
10.81,605686
10.926,599350
11.016,592353
11.139,589214
11.232,595058
11.319,601572
11.442,601145
11.528,594731
11.654,587188
11.739,584276
11.831,585580
11.957,598624
12.04,602805
12.157,599309
12.248,592645
12.344,587539
12.458,586926
12.542,589463
12.666,594991
12.768,601612
12.854,599642
12.968,594678
13.058,591106
13.17,591815
13.26,594875
13.363,601056
13.475,596078
13.569,589768
13.689,585741
13.772,585288
13.867,588165
13.983,596629
14.065,602777
14.186,602229
14.275,589484
14.366,586900
14.501,588590
14.587,591899
14.709,600042
14.792,604239
14.886,601423
15.0,586687
15.104,585017
15.221,588346
15.309,591969
15.399,599937
15.52,604074
15.598,597094
15.728,587863
15.82,584161
15.912,588293
16.03,594883
16.119,598586
16.239,594457
16.335,587684
16.415,582941
16.544,589809
16.621,595547
16.75,602851
16.837,603087
16.926,596392
17.044,587437
17.135,582359
17.26,583246
17.357,596644
17.435,604189
17.559,602785
17.646,593899
17.757,585647
17.858,583417
17.95,586184
18.072,598734
18.158,604295
18.282,598789
18.376,589228
18.463,583296
18.58,583917
18.662,590097
18.794,597856
18.882,608144
18.968,603680
19.089,596206
19.182,590640
19.29,590198
19.389,593927
19.481,600159
19.601,605838
19.687,600043
19.815,593939
19.9,591166
19.994,592801
20.106,598515
20.206,606316
20.313,608708
20.413,600673
20.498,597356
20.619,596653
20.706,599118
20.821,605455
20.907,609944
21.009,607418
21.124,597921
21.221,598435
21.334,598595
21.436,598827
21.509,602398
21.634,604544
21.723,602113
21.851,596736
21.932,589178
22.032,590482
22.144,596542
22.232,603452
22.353,601300
22.444,593091
22.532,587015
22.648,588426
22.744,591792
22.857,594734
22.958,595459
23.045,591847
23.17,584412
23.25,579643
23.386,580291
23.472,594465
23.561,597785
23.683,594306
23.765,587461
23.89,583196
23.981,582623
24.068,582546
24.193,594063
24.279,595031
24.398,590244
24.491,585294
24.581,583602
24.702,583988
24.787,588610
24.909,599081
25.002,597367
25.085,589028
25.21,586207
25.296,588787
25.424,592420
25.508,598288
25.599,604175
25.723,597466
25.8,591616
25.929,591055
26.006,594407
26.109,598593
26.232,605290
26.318,606587
26.444,601717
26.534,595789
26.619,597083
26.738,599834
26.829,604089
26.954,610445
27.037,609812
27.124,603740
27.252,591737
27.338,592378
27.465,595914
27.554,601707
27.637,607261
27.753,605888
27.853,600499
27.957,594026
28.064,593477
28.156,596315
28.275,603818
28.354,609557
28.485,607928
28.566,600935
28.666,593758
28.769,592783
28.875,597703
28.98,605937
29.082,608767
29.167,605580
29.286,597681
29.367,592384
29.493,593010
29.588,597778
29.681,605137
29.796,604598
29.893,601793
30.01,596480
30.09,593191
30.181,594795
30.298,599965
30.396,607284
30.507,607684
30.609,602156
30.705,593810
30.823,589971
30.909,592048
31.023,602122
31.116,606324
31.204,602962
31.318,594486
31.419,587264
31.54,586036
31.633,587310
31.711,592183
31.84,601326
31.925,595292
32.052,587658
32.141,584432
32.229,586598
32.339,589943
32.426,596564
32.547,602762
32.646,596687
32.726,590894
32.862,588106
32.941,589077
33.071,593619
33.155,599714
33.247,602049
33.376,591902
33.465,588506
33.589,590928
33.671,593019
33.762,596312
33.885,601223
33.971,601928
34.087,593980
34.176,590434
34.272,590923
34.392,594299
34.484,599233
34.6,602904
34.691,603352
34.777,597810
34.893,590309
34.997,594892
35.109,599002
35.198,603631
35.289,605376
35.42,603645
35.499,598087
35.611,592496
35.71,596618
35.802,601826
35.922,605661
36.018,603360
36.129,597654
36.219,590168
36.316,585619
36.421,590430
36.519,598784
36.635,600615
36.731,597371
36.816,591425
36.941,581651
37.015,576283
37.141,594707
37.233,602328
37.337,601515
37.442,597193
37.551,590670
37.665,585343
37.747,586046
37.83,591759
37.961,603432
38.034,600352
38.161,594227
38.252,587873
38.361,586736
38.473,590797
38.554,595919
38.678,603657
38.765,600736
38.856,594290
38.969,587508
39.069,587917
39.19,595257
39.279,602859
39.367,605493
39.494,598282
39.585,592643
39.694,590286
39.791,594396
39.878,601073
