seconds,data
0.0,586956
0.116,586418
0.206,585897
0.304,586098
0.417,586711
0.513,589555
0.621,593900
0.721,597681
0.816,600216
0.934,601781
1.017,604992
1.14,609694
1.228,614431
1.324,620354
1.434,622326
1.534,624157
1.656,625935
1.751,628548
1.826,630359
1.952,631002
2.038,634508
2.157,635321
2.241,634642
2.35,633991
2.464,635085
2.557,635289
2.674,635281
2.761,635795
2.842,634679
2.96,632524
3.063,630400
3.183,629787
3.269,629292
3.354,631484
3.485,634593
3.571,638960
3.696,638788
3.776,638089
3.874,638990
3.982,638769
4.085,638620
4.21,639121
4.292,638660
4.387,642212
4.501,647548
4.589,652537
4.708,651471
4.8,649731
4.892,648236
5.006,646368
5.094,642209
5.229,642194
5.318,644901
5.392,645474
5.527,642532
5.606,638345
5.736,634818
5.823,631812
5.915,626111
6.027,623406
6.127,622160
6.245,620855
6.333,619168
6.423,617366
6.54,614946
6.636,610846
6.748,608161
6.837,605598
6.92,603586
7.056,601337
7.144,599143
7.268,597144
7.348,595321
7.439,592249
7.564,590683
7.646,589141
7.768,588672
7.868,588747
7.949,588580
8.068,588667
8.163,588938
8.273,589154
8.378,589018
8.465,588303
8.584,587822
8.673,588398
8.796,588621
8.883,589376
8.981,589599
9.084,589969
9.179,590113
9.291,590018
9.396,590667
9.476,593682
9.595,597184
9.682,604687
9.802,608634
9.895,612284
9.993,615119
10.11,617597
10.208,620113
10.322,622840
10.408,627065
10.499,628783
10.62,630216
10.706,631213
10.83,631724
10.923,632518
11.002,633257
11.135,633484
11.216,632051
11.343,630643
11.43,629525
11.518,628698
11.629,630263
11.728,631661
11.858,632776
11.94,635185
12.034,635135
12.15,634132
12.239,632958
12.362,633696
12.448,634555
12.55,635353
12.66,635682
12.754,636139
12.875,636083
12.962,635177
13.038,633572
13.175,631197
13.267,629385
13.39,627779
13.47,634732
13.561,639323
13.682,641414
13.775,640449
13.894,640197
13.972,640272
14.06,639355
14.18,640698
14.284,645155
14.399,648168
14.488,652010
