seconds,data
0.0,540437
0.126,540688
0.219,542058
0.34,544417
0.432,556387
0.519,564483
0.632,573279
0.724,580739
0.852,586106
0.937,591278
1.034,596801
1.149,601549
1.243,608914
1.365,611085
1.45,612528
1.535,613560
1.658,616028
1.742,617960
1.866,620340
1.965,622725
2.052,621446
2.17,620152
2.262,621833
2.387,624780
2.475,626491
2.561,628001
2.685,629774
2.771,632649
2.893,633221
2.97,635511
3.066,637425
3.186,639049
3.278,639642
3.399,639651
3.491,640769
3.578,640212
3.701,639469
3.795,639137
3.915,640821
4.005,642918
4.097,644180
4.214,645052
4.297,645146
4.419,645506
4.513,645062
4.596,643677
4.733,641926
4.813,640320
4.93,641166
5.026,643291
5.112,643995
5.228,644057
5.324,644154
5.436,643509
5.536,642037
5.621,640354
5.748,638890
5.819,640859
5.943,642018
6.041,642784
6.138,642984
6.246,643459
6.346,643216
6.464,641809
6.557,638345
6.642,639328
6.765,640100
6.848,641163
6.961,641702
7.05,641804
7.151,641175
7.269,635901
7.349,617282
7.482,610577
7.559,606851
7.659,603744
7.773,601126
7.876,598812
7.981,596389
8.089,591622
8.17,588445
8.293,585432
8.383,583024
8.502,580790
8.586,578621
8.675,576641
8.801,575170
8.889,573460
9.01,573408
9.102,573552
9.185,573229
9.305,572640
9.389,572201
9.525,572839
9.615,573328
9.698,573622
9.815,573903
9.909,574975
10.029,577358
10.125,580145
10.209,582968
10.333,586164
10.407,594906
10.53,599257
10.619,603817
10.71,607696
10.847,611462
10.929,615064
11.06,617158
11.146,621094
11.228,624076
11.348,626285
11.436,629186
11.57,632602
11.653,635180
11.737,635297
11.863,634525
11.949,637280
12.078,640143
12.162,641878
12.251,643412
12.373,644306
12.462,644856
12.584,644450
12.671,643929
12.763,645503
12.873,646610
12.983,647521
13.088,647632
13.184,647334
13.27,645877
13.392,643601
13.476,645083
13.612,646073
13.69,647036
13.789,647356
13.889,647829
13.99,647747
14.102,646272
14.206,643051
14.286,644259
14.404,645406
14.496,646659
14.621,647454
14.709,647572
14.807,648130
14.912,648170
15.008,645502
15.13,643962
15.21,645380
15.299,646767
15.425,647967
15.522,648644
15.633,648441
15.733,649118
15.82,648562
15.938,647060
16.024,645012
16.158,645001
16.24,646146
16.333,647159
16.439,648230
16.538,648616
16.66,648879
16.746,648501
16.837,647238
16.962,645340
17.05,644496
17.171,645839
17.259,648029
17.351,648209
17.47,648374
17.563,648923
17.686,648701
17.773,647343
17.857,645242
17.979,643968
18.069,645938
18.192,647252
18.281,647732
18.367,648003
18.496,648426
18.586,647979
18.702,646408
18.787,643490
18.881,644667
18.991,645580
19.096,646685
19.209,647178
19.306,647519
19.387,646998
19.518,640145
19.602,619704
19.725,613598
19.81,609351
19.907,605613
20.022,602461
20.11,599231
20.234,596205
20.327,589586
20.409,585731
20.541,582640
20.62,580271
20.735,577945
20.838,575708
20.92,573774
21.048,571812
21.13,569703
21.255,568878
21.333,567854
21.436,567080
21.549,567381
21.649,567745
21.761,567688
21.857,568596
21.944,569367
22.066,570164
22.142,570133
22.267,569752
22.356,569569
22.459,570449
22.558,570641
22.666,572137
22.782,574089
22.861,577742
22.953,581583
23.073,585436
23.166,589489
23.28,594564
23.375,602891
23.474,606727
23.589,609594
23.676,611569
23.802,612740
23.88,615188
23.972,618159
24.1,620365
24.187,622392
24.304,623680
24.4,624595
24.481,626234
24.62,629207
24.698,630883
24.822,632789
24.912,636860
24.996,638146
25.125,638926
25.215,641620
25.333,643634
25.423,645195
25.509,646583
25.637,647087
25.72,645501
25.844,644727
25.937,646782
26.018,648166
26.144,649260
26.233,649787
26.351,650075
26.443,650345
26.529,649138
26.653,647860
26.737,648945
26.861,650674
26.951,652057
27.041,653140
27.163,653511
27.254,654738
27.362,653985
27.458,652693
27.551,651124
27.67,651495
27.755,652791
27.889,653810
27.974,655042
28.053,655509
28.169,655798
28.26,654864
28.383,653384
28.492,651617
28.578,651864
28.688,653033
28.782,654733
28.9,654724
28.997,655086
29.079,655468
29.19,654980
29.298,653703
29.4,651904
29.503,652623
29.59,653430
29.719,654374
29.79,654366
29.913,654517
29.999,654981
30.103,654695
30.21,653525
30.312,650859
30.434,652066
30.526,651902
30.611,646045
30.722,634885
30.818,626220
30.936,619893
31.024,609229
31.121,604448
31.241,600714
31.32,598646
31.45,596714
31.536,594735
31.62,592413
31.744,589971
31.842,584945
31.952,581004
32.057,576553
32.137,572285
32.261,569449
32.349,567085
32.474,565666
32.561,564149
32.652,563952
32.77,563640
32.858,563177
32.977,562899
33.066,563669
33.15,565048
33.287,567678
33.365,578431
33.492,585202
33.579,591580
33.67,596290
33.794,599419
33.882,602426
34.014,606620
34.092,613692
34.179,616510
34.301,619163
34.389,621438
34.508,623269
34.594,625499
34.686,628751
34.802,631176
34.899,634459
35.011,634671
35.115,633799
35.196,632513
35.321,634824
35.423,638574
35.537,641652
35.624,644801
35.708,644661
35.831,643604
35.922,642487
36.032,644032
36.132,645675
36.224,646797
36.345,647672
36.432,649071
36.56,649275
36.637,648078
36.735,646714
36.841,644958
36.943,645803
37.054,646899
37.157,648818
37.244,648813
37.369,649230
37.452,649373
37.569,648523
37.658,647210
37.752,645681
37.87,646376
37.964,648587
38.082,649394
38.176,649411
38.261,649754
38.368,650003
38.466,649365
38.584,647994
38.672,646037
38.776,647262
38.892,648201
38.981,649333
39.104,649533
39.185,649889
39.271,650365
39.396,650073
39.482,647109
39.605,645887
39.706,646909
39.78,647654
39.906,648632
40.01,647312
40.114,639707
40.205,622212
40.303,615103
40.42,608962
40.514,603627
40.638,599768
40.714,597067
40.8,594198
40.933,591498
41.005,586150
41.139,583731
41.228,580641
41.316,577046
41.446,573627
41.53,571185
41.658,570297
41.741,569591
41.826,569506
41.956,569550
42.045,570136
42.162,570824
