seconds,data
0.0,-62.1441650390625
0.124,-60.18310546875
0.219,-60.9027099609375
0.336,-58.90869140625
0.392,-58.436279296875
0.545,-59.39208984375
0.596,-57.65625
0.722,-57.271728515625
0.817,-58.2879638671875
0.936,-57.9473876953125
1.023,-57.83203125
1.148,-57.8814697265625
1.196,-57.8155517578125
1.328,-57.72216796875
1.413,-56.1676025390625
1.539,-56.1126708984375
1.625,-56.0137939453125
1.745,-55.8709716796875
1.796,-55.72265625
1.919,-55.6512451171875
2.017,-55.634765625
2.128,-55.6622314453125
2.213,-55.8819580078125
2.344,-58.07373046875
2.431,-59.3756103515625
2.555,-58.4033203125
2.608,-59.501953125
2.729,-59.4580078125
2.814,-59.556884765625
2.943,-59.556884765625
3.019,-59.512939453125
3.148,-59.43603515625
3.214,-59.39208984375
3.324,-59.359130859375
3.427,-59.4085693359375
3.541,-59.4305419921875
3.634,-59.425048828125
3.749,-59.447021484375
3.841,-59.4580078125
3.967,-59.447021484375
4.017,-59.4744873046875
4.146,-59.4744873046875
4.234,-59.4525146484375
4.354,-59.468994140625
4.448,-59.490966796875
4.55,-59.490966796875
4.626,-59.5294189453125
4.746,-59.556884765625
4.841,-59.5623779296875
4.957,-59.5458984375
5.049,-59.556884765625
5.169,-59.534912109375
5.259,-59.5458984375
5.365,-59.5843505859375
5.435,-59.5843505859375
5.558,-59.600830078125
5.645,-59.600830078125
5.772,-59.6173095703125
5.85,-59.6282958984375
5.969,-59.6063232421875
6.032,-59.6173095703125
6.156,-59.600830078125
6.246,-59.6063232421875
6.377,-59.65576171875
6.455,-59.6502685546875
6.58,-58.6175537109375
6.667,-59.0570068359375
6.79,-60.809326171875
6.838,-61.1004638671875
6.959,-60.029296875
7.056,-60.29296875
7.176,-60.4632568359375
7.267,-62.017822265625
7.388,-62.083740234375
7.44,-62.1771240234375
7.569,-62.2430419921875
7.658,-62.2979736328125
7.773,-62.314453125
7.866,-62.29248046875
7.978,-62.3968505859375
8.075,-62.3968505859375
8.196,-62.4407958984375
8.248,-62.4847412109375
8.373,-62.479248046875
8.467,-62.490234375
8.592,-62.38037109375
8.677,-61.885986328125
8.799,-59.78759765625
8.847,-60.75439453125
8.968,-58.82080078125
9.058,-58.3648681640625
9.193,-59.4195556640625
9.275,-57.6068115234375
9.397,-57.2607421875
9.489,-56.9696044921875
9.602,-58.0572509765625
9.653,-57.777099609375
9.782,-56.05224609375
9.868,-55.821533203125
9.999,-55.6182861328125
10.08,-56.8377685546875
10.205,-56.7279052734375
10.269,-56.656494140625
10.376,-56.57958984375
10.468,-56.5411376953125
10.584,-56.689453125
10.678,-55.623779296875
10.795,-55.909423828125
10.888,-56.05224609375
11.02,-56.2060546875
11.074,-57.733154296875
11.184,-57.799072265625
11.289,-57.83203125
11.392,-57.9254150390625
11.489,-58.0133056640625
11.607,-58.1341552734375
11.674,-58.282470703125
11.795,-56.97509765625
11.885,-59.161376953125
12.002,-59.512939453125
12.096,-59.4305419921875
12.21,-59.4525146484375
12.306,-59.578857421875
12.426,-59.5953369140625
12.479,-59.5843505859375
12.607,-59.578857421875
12.694,-59.58984375
12.82,-59.6337890625
12.899,-59.6337890625
13.026,-59.6502685546875
13.082,-59.6282958984375
13.205,-59.6282958984375
13.298,-59.666748046875
13.42,-59.666748046875
13.507,-59.6832275390625
13.616,-59.69970703125
13.707,-59.7052001953125
13.828,-59.666748046875
13.886,-59.6942138671875
14.018,-59.6832275390625
14.098,-59.6832275390625
14.227,-59.7216796875
14.317,-59.7216796875
14.445,-59.7271728515625
14.486,-59.732666015625
14.619,-59.7271728515625
14.707,-59.7052001953125
14.835,-59.7161865234375
14.915,-59.6942138671875
15.037,-59.69970703125
15.128,-59.754638671875
15.248,-58.4033203125
15.3,-58.798828125
15.429,-60.556640625
15.513,-60.8203125
15.633,-61.094970703125
15.721,-59.9578857421875
15.841,-60.1776123046875
15.895,-60.347900390625
16.025,-61.8914794921875
16.118,-61.94091796875
16.24,-62.039794921875
16.321,-62.1002197265625
16.446,-62.1441650390625
16.536,-62.127685546875
16.658,-62.1551513671875
16.709,-62.1661376953125
16.836,-62.1771240234375
16.92,-62.2430419921875
17.049,-62.1661376953125
17.132,-60.4302978515625
17.253,-59.864501953125
17.307,-60.743408203125
17.434,-58.82080078125
17.519,-58.370361328125
17.648,-59.3316650390625
17.73,-57.5189208984375
17.853,-57.2113037109375
17.936,-58.3428955078125
18.065,-58.1121826171875
18.117,-57.8704833984375
18.24,-56.2005615234375
18.326,-55.87646484375
18.448,-55.6292724609375
18.542,-56.8707275390625
18.667,-56.7169189453125
18.724,-56.53564453125
18.838,-56.480712890625
18.939,-56.5081787109375
19.045,-56.568603515625
19.139,-56.832275390625
19.253,-55.799560546875
19.347,-56.0906982421875
19.474,-57.72216796875
19.54,-57.85400390625
19.645,-58.0078125
19.746,-58.1341552734375
19.868,-58.2000732421875
19.96,-58.2275390625
20.071,-58.348388671875
20.13,-57.0684814453125
20.257,-57.1563720703125
20.348,-57.19482421875
20.468,-57.2442626953125
20.559,-57.2882080078125
20.677,-57.3211669921875
20.77,-57.3486328125
20.876,-57.3651123046875
20.945,-57.41455078125
21.071,-57.469482421875
21.153,-57.4859619140625
21.28,-57.5244140625
21.362,-57.5518798828125
21.484,-57.5738525390625
21.544,-57.579345703125
21.66,-57.623291015625
21.754,-59.3206787109375
21.881,-59.666748046875
21.962,-58.3648681640625
22.091,-58.3758544921875
22.179,-58.4527587890625
22.29,-58.51318359375
22.356,-58.524169921875
22.477,-58.46923828125
22.566,-58.480224609375
22.692,-58.4747314453125
22.781,-58.4747314453125
22.899,-58.502197265625
22.948,-58.5076904296875
23.069,-58.5406494140625
23.166,-58.546142578125
23.289,-58.5296630859375
23.377,-58.51318359375
23.505,-58.51318359375
23.583,-58.5186767578125
23.71,-58.5516357421875
23.754,-58.60107421875
23.876,-58.699951171875
23.985,-58.8812255859375
24.096,-60.6280517578125
24.185,-60.93017578125
24.305,-61.083984375
24.356,-60.00732421875
24.483,-60.1611328125
24.571,-60.3204345703125
24.695,-61.907958984375
24.785,-62.0233154296875
24.899,-62.1112060546875
24.986,-62.1881103515625
25.115,-62.193603515625
25.164,-62.127685546875
25.298,-62.1881103515625
25.378,-62.1771240234375
25.507,-62.20458984375
25.591,-62.1661376953125
25.71,-61.9683837890625
25.77,-60.0787353515625
25.891,-60.985107421875
25.989,-60.589599609375
26.095,-58.8592529296875
26.188,-58.4912109375
26.32,-59.5074462890625
26.399,-59.183349609375
26.523,-57.4530029296875
26.582,-57.1673583984375
26.7,-58.282470703125
26.791,-58.018798828125
26.901,-57.755126953125
26.989,-56.0577392578125
27.12,-55.843505859375
27.185,-55.6072998046875
27.298,-56.8377685546875
27.401,-56.7498779296875
27.511,-56.7498779296875
27.605,-56.788330078125
27.719,-56.865234375
27.779,-56.898193359375
27.927,-55.5633544921875
27.985,-55.6951904296875
28.115,-55.909423828125
28.214,-56.162109375
28.323,-57.7716064453125
28.419,-57.8924560546875
28.526,-57.9473876953125
28.595,-58.0023193359375
28.716,-58.1011962890625
28.812,-58.1781005859375
28.93,-58.2330322265625
29.014,-58.304443359375
29.138,-56.97509765625
29.188,-57.0245361328125
29.341,-57.0574951171875
29.403,-57.052001953125
29.541,-57.10693359375
29.621,-57.1453857421875
29.739,-57.1728515625
29.823,-57.2222900390625
29.948,-57.2772216796875
29.99,-57.3101806640625
30.128,-57.315673828125
30.217,-57.3541259765625
30.337,-57.3760986328125
30.427,-59.0899658203125
30.544,-58.5296630859375
30.601,-58.7054443359375
30.758,-58.656005859375
30.813,-58.721923828125
30.938,-58.7713623046875
31.016,-58.7274169921875
31.153,-58.7054443359375
31.231,-58.6614990234375
31.356,-58.6724853515625
31.409,-58.73291015625
31.535,-58.743896484375
31.623,-58.7603759765625
31.744,-58.7823486328125
31.825,-58.77685546875
31.944,-58.7548828125
32.004,-58.77685546875
32.153,-58.77685546875
32.216,-58.7933349609375
32.344,-58.8482666015625
32.437,-59.007568359375
32.544,-60.7708740234375
32.651,-61.0345458984375
32.758,-59.820556640625
32.82,-59.9853515625
32.95,-60.1995849609375
33.037,-60.3314208984375
33.153,-60.4302978515625
33.237,-61.9793701171875
33.356,-62.05078125
33.415,-62.105712890625
33.578,-62.1441650390625
33.629,-62.1441650390625
33.752,-62.0947265625
33.833,-62.127685546875
33.961,-62.0947265625
34.047,-61.929931640625
34.17,-59.9139404296875
34.236,-60.7269287109375
34.347,-58.8372802734375
34.442,-58.3758544921875
34.554,-59.359130859375
34.649,-57.5189208984375
34.767,-57.117919921875
34.833,-58.20556640625
34.96,-57.919921875
35.043,-57.6727294921875
35.158,-56.0357666015625
35.258,-55.83251953125
35.362,-55.7171630859375
35.458,-56.898193359375
35.58,-56.7059326171875
35.645,-56.6455078125
35.77,-56.6949462890625
35.85,-56.810302734375
35.971,-55.5743408203125
36.066,-55.8380126953125
36.184,-56.1181640625
36.241,-57.7386474609375
36.371,-57.864990234375
36.461,-57.9913330078125
36.577,-58.11767578125
36.668,-58.2110595703125
36.779,-58.2879638671875
36.876,-56.9805908203125
36.997,-57.041015625
37.059,-57.0684814453125
37.181,-57.1014404296875
37.264,-57.1728515625
37.387,-57.23876953125
37.473,-57.2882080078125
37.594,-57.337646484375
37.647,-57.3760986328125
37.775,-57.4310302734375
37.868,-57.447509765625
38.0,-57.5079345703125
38.075,-57.5189208984375
38.194,-57.568359375
