seconds,data
0.0,-62.7264404296875
0.088,-62.666015625
0.216,-62.6824951171875
0.306,-62.6605224609375
0.428,-63.621826171875
0.475,-61.7376708984375
0.599,-61.2762451171875
0.689,-62.325439453125
0.811,-61.885986328125
0.905,-59.996337890625
1.027,-61.0235595703125
1.117,-60.7379150390625
1.236,-58.8702392578125
1.304,-58.414306640625
1.417,-59.3756103515625
1.504,-57.5189208984375
1.624,-57.1343994140625
1.714,-58.271484375
1.838,-58.07373046875
1.888,-57.799072265625
2.007,-57.67822265625
2.09,-57.7716064453125
2.214,-58.07373046875
2.309,-57.2882080078125
2.439,-59.2767333984375
2.526,-58.38134765625
2.637,-58.77685546875
2.707,-60.6060791015625
2.819,-60.985107421875
2.908,-60.09521484375
3.032,-61.8804931640625
3.118,-62.1661376953125
3.246,-62.5286865234375
3.305,-61.4959716796875
3.423,-61.8035888671875
3.52,-63.4185791015625
3.633,-63.5833740234375
3.728,-63.709716796875
3.837,-63.87451171875
3.921,-63.9788818359375
4.053,-62.6055908203125
4.115,-62.6715087890625
4.235,-62.64404296875
4.327,-62.6605224609375
4.443,-62.6605224609375
4.537,-62.64404296875
4.649,-62.611083984375
4.718,-62.6605224609375
4.841,-62.6495361328125
4.928,-62.6165771484375
5.048,-62.68798828125
5.137,-62.6275634765625
5.26,-62.6220703125
5.344,-62.633056640625
5.46,-62.60009765625
5.531,-63.9404296875
5.655,-62.589111328125
5.739,-63.973388671875
5.855,-63.951416015625
5.944,-62.589111328125
6.064,-63.9788818359375
6.124,-62.5836181640625
6.25,-63.973388671875
6.331,-63.91845703125
6.459,-63.9459228515625
6.547,-63.9459228515625
6.666,-63.9569091796875
6.755,-63.9788818359375
6.881,-63.9569091796875
6.924,-63.96240234375
7.066,-63.9459228515625
7.149,-63.9129638671875
7.266,-63.8470458984375
7.362,-63.907470703125
7.477,-63.9129638671875
7.54,-63.9019775390625
7.658,-63.929443359375
7.737,-63.9129638671875
7.868,-63.929443359375
7.962,-63.91845703125
8.077,-63.8580322265625
8.169,-63.8909912109375
8.29,-63.9019775390625
8.336,-63.9019775390625
8.466,-63.907470703125
8.555,-63.907470703125
8.674,-63.9129638671875
8.764,-63.863525390625
8.883,-63.907470703125
8.941,-63.8800048828125
9.066,-63.8580322265625
9.154,-63.9129638671875
9.273,-63.885498046875
9.365,-63.9129638671875
9.493,-63.896484375
9.579,-63.841552734375
9.7,-63.8800048828125
9.745,-63.87451171875
9.872,-63.885498046875
9.965,-63.87451171875
10.088,-63.885498046875
10.17,-63.885498046875
10.294,-63.841552734375
10.36,-63.896484375
10.469,-63.8470458984375
10.553,-63.8250732421875
10.682,-63.8800048828125
10.765,-63.863525390625
10.888,-63.8909912109375
10.987,-63.885498046875
11.107,-63.8525390625
11.167,-63.9019775390625
11.275,-63.8800048828125
11.376,-63.8690185546875
11.489,-63.907470703125
11.585,-63.896484375
11.698,-63.9239501953125
11.764,-63.8690185546875
11.888,-63.52294921875
11.979,-61.5399169921875
12.093,-62.33642578125
12.185,-60.2490234375
12.301,-61.0455322265625
12.367,-59.0020751953125
12.508,-58.480224609375
12.579,-59.4140625
12.696,-57.5958251953125
12.783,-57.28271484375
12.907,-56.9915771484375
13.0,-58.095703125
13.106,-57.9034423828125
13.182,-57.7001953125
13.298,-56.05224609375
13.385,-55.843505859375
13.503,-55.6402587890625
13.602,-56.876220703125
13.715,-56.7333984375
13.766,-56.6180419921875
13.928,-56.53564453125
13.977,-56.436767578125
14.105,-56.4642333984375
14.185,-56.502685546875
14.325,-56.524658203125
14.408,-56.6180419921875
14.532,-56.7059326171875
14.578,-56.920166015625
14.705,-55.9918212890625
14.8,-57.9803466796875
14.922,-57.1014404296875
15.002,-57.5244140625
15.129,-59.2767333984375
15.181,-59.644775390625
15.337,-58.612060546875
15.396,-59.051513671875
15.519,-60.8807373046875
15.6,-59.886474609375
15.729,-60.2215576171875
15.818,-60.457763671875
15.938,-62.2979736328125
15.987,-62.4957275390625
16.116,-61.23779296875
16.212,-61.36962890625
16.325,-61.424560546875
16.422,-61.4739990234375
16.534,-61.50146484375
16.589,-61.54541015625
16.75,-61.5728759765625
16.796,-61.666259765625
16.925,-61.6717529296875
17.004,-61.67724609375
17.139,-61.7376708984375
17.227,-61.6827392578125
17.345,-61.69921875
17.396,-61.69921875
17.519,-61.6827392578125
17.601,-61.644287109375
17.742,-61.72119140625
17.823,-61.732177734375
17.945,-61.7266845703125
18.0,-61.7486572265625
18.155,-61.7266845703125
18.208,-61.7376708984375
18.337,-61.7266845703125
18.42,-61.710205078125
18.535,-61.6607666015625
18.628,-61.7156982421875
18.75,-61.7266845703125
18.817,-61.732177734375
18.933,-61.754150390625
19.027,-61.7431640625
19.135,-61.754150390625
19.225,-61.7486572265625
19.349,-61.7431640625
19.416,-61.688232421875
19.535,-61.7431640625
19.626,-61.754150390625
19.741,-61.7486572265625
19.834,-61.7816162109375
19.952,-61.7706298828125
20.048,-61.787109375
20.155,-61.7706298828125
20.227,-61.732177734375
20.346,-61.776123046875
20.436,-61.76513671875
20.559,-61.776123046875
20.649,-61.80908203125
20.757,-61.7816162109375
20.825,-61.8035888671875
20.945,-61.7926025390625
21.034,-61.7486572265625
21.159,-61.754150390625
21.247,-61.776123046875
21.368,-61.798095703125
21.459,-61.8035888671875
21.568,-61.8035888671875
21.624,-61.8145751953125
21.748,-61.820068359375
21.836,-61.80908203125
21.972,-61.76513671875
22.05,-61.8035888671875
22.184,-61.80908203125
22.223,-61.8035888671875
22.353,-61.8310546875
22.449,-61.8255615234375
22.571,-61.842041015625
22.657,-61.8365478515625
22.779,-61.8035888671875
22.866,-61.842041015625
22.991,-61.8475341796875
23.047,-61.842041015625
23.166,-61.875
23.257,-61.864013671875
23.384,-63.292236328125
23.455,-61.864013671875
23.586,-61.842041015625
23.638,-61.875
23.769,-61.864013671875
23.858,-61.85302734375
23.974,-63.30322265625
24.059,-63.2867431640625
24.188,-63.3087158203125
24.28,-63.2977294921875
24.397,-61.85302734375
24.451,-61.875
24.579,-61.85302734375
24.663,-61.776123046875
24.78,-61.622314453125
24.876,-61.314697265625
24.992,-62.325439453125
25.048,-61.929931640625
25.17,-60.1336669921875
25.26,-61.160888671875
25.382,-60.7818603515625
25.471,-58.985595703125
25.593,-58.6724853515625
25.679,-58.3758544921875
25.809,-59.490966796875
25.854,-59.227294921875
25.993,-57.5408935546875
26.067,-57.2991943359375
26.191,-57.030029296875
26.273,-58.24951171875
26.408,-58.018798828125
26.465,-57.864990234375
26.579,-57.733154296875
26.68,-56.1181640625
26.782,-55.96435546875
26.876,-55.8270263671875
26.999,-55.7720947265625
27.084,-55.65673828125
27.209,-55.56884765625
27.268,-56.8707275390625
27.388,-56.7498779296875
27.488,-56.71142578125
27.597,-56.8048095703125
27.696,-55.56884765625
27.807,-55.9039306640625
27.878,-57.908935546875
27.992,-57.0849609375
28.089,-57.63427734375
28.21,-59.39208984375
28.297,-59.7052001953125
28.404,-58.6395263671875
28.505,-58.9691162109375
28.622,-60.7159423828125
28.68,-61.0235595703125
28.816,-59.91943359375
28.9,-60.194091796875
29.009,-60.3863525390625
29.107,-62.171630859375
29.226,-62.3748779296875
29.276,-62.545166015625
29.408,-61.32568359375
29.497,-61.435546875
29.618,-61.5618896484375
29.713,-61.6387939453125
29.825,-61.688232421875
29.919,-61.7047119140625
30.034,-61.7926025390625
30.098,-61.820068359375
30.217,-61.8255615234375
30.303,-63.2977294921875
30.427,-63.2867431640625
30.522,-63.3087158203125
30.635,-63.2977294921875
30.689,-61.875
30.818,-61.8475341796875
30.904,-63.2977294921875
31.024,-63.2867431640625
31.108,-61.8585205078125
31.239,-63.3306884765625
31.321,-63.30322265625
31.458,-63.3197021484375
31.494,-63.314208984375
31.622,-63.2977294921875
31.713,-61.864013671875
