seconds,data
0.0,-64.3963623046875
0.119,-65.1708984375
0.208,-63.424072265625
0.331,-62.4407958984375
0.388,-61.4959716796875
0.511,-63.841552734375
0.598,-62.8253173828125
0.725,-62.8143310546875
0.815,-61.578369140625
0.928,-60.3533935546875
1.017,-59.798583984375
1.151,-60.172119140625
1.194,-62.325439453125
1.329,-62.3858642578125
1.406,-62.51220703125
1.532,-59.864501953125
1.617,-58.46923828125
1.753,-58.370361328125
1.805,-59.94140625
1.931,-61.314697265625
2.017,-63.3197021484375
2.131,-61.9354248046875
2.22,-59.227294921875
2.342,-57.227783203125
2.428,-60.7379150390625
2.552,-61.578369140625
2.611,-63.7371826171875
2.723,-63.6602783203125
2.826,-60.9521484375
2.938,-57.3651123046875
3.052,-57.3486328125
3.147,-59.9029541015625
3.219,-61.4630126953125
3.341,-63.314208984375
3.426,-62.4627685546875
3.551,-59.6722412109375
3.631,-58.2000732421875
3.745,-57.2222900390625
3.84,-61.007080078125
3.957,-62.4957275390625
4.023,-61.7156982421875
4.146,-60.3753662109375
4.242,-59.3096923828125
4.353,-58.3428955078125
4.447,-60.4962158203125
4.571,-61.4080810546875
4.618,-63.69873046875
4.747,-63.7921142578125
4.832,-62.1002197265625
4.96,-59.52392578125
5.043,-58.150634765625
5.169,-59.5404052734375
5.257,-59.91943359375
5.375,-62.0947265625
5.431,-62.1881103515625
5.559,-60.479736328125
5.641,-57.403564453125
5.769,-57.1124267578125
5.855,-60.501708984375
5.975,-60.3424072265625
6.02,-62.3309326171875
6.155,-62.05078125
6.249,-58.55712890625
6.372,-57.052001953125
6.454,-57.469482421875
6.578,-59.9908447265625
6.657,-61.226806640625
6.783,-61.8145751953125
6.84,-60.46875
6.955,-59.666748046875
7.046,-57.117919921875
7.179,-59.5733642578125
7.269,-60.18310546875
7.386,-62.2869873046875
7.441,-61.182861328125
7.56,-60.5181884765625
7.651,-57.2442626953125
7.773,-58.1231689453125
7.867,-58.7274169921875
7.987,-62.215576171875
8.054,-61.5289306640625
8.188,-60.44677734375
8.247,-59.4525146484375
8.363,-58.084716796875
8.457,-57.4859619140625
8.584,-60.05126953125
8.672,-61.5179443359375
8.792,-61.2158203125
8.843,-58.73291015625
8.969,-57.6947021484375
9.065,-56.7718505859375
9.173,-57.2991943359375
9.275,-60.897216796875
9.385,-60.2215576171875
9.456,-60.3424072265625
9.598,-58.4527587890625
9.667,-58.0023193359375
9.784,-56.2335205078125
9.865,-59.47998046875
9.993,-60.9466552734375
10.077,-60.2874755859375
10.201,-62.105712890625
10.261,-59.776611328125
10.368,-59.227294921875
10.473,-58.348388671875
10.587,-59.6392822265625
10.688,-60.260009765625
10.796,-61.259765625
10.864,-61.28173828125
