seconds,data
0.0,-62.830810546875
0.115,-62.874755859375
0.207,-62.8472900390625
0.326,-62.8253173828125
0.391,-62.5946044921875
0.511,-63.3966064453125
0.596,-61.6497802734375
0.72,-61.3531494140625
0.815,-61.2542724609375
0.931,-61.2322998046875
0.985,-62.40234375
1.138,-62.2100830078125
1.199,-62.1771240234375
1.32,-62.127685546875
1.414,-60.457763671875
1.532,-60.216064453125
1.623,-59.9853515625
1.746,-60.040283203125
1.795,-60.172119140625
1.919,-60.40283203125
2.003,-62.0562744140625
2.138,-62.11669921875
2.216,-62.11669921875
2.346,-62.1331787109375
2.395,-62.1881103515625
2.554,-62.2265625
2.611,-62.259521484375
2.722,-62.2540283203125
2.825,-62.2650146484375
2.944,-62.2430419921875
3.028,-62.24853515625
3.157,-62.303466796875
3.206,-62.2705078125
3.334,-62.1551513671875
3.42,-61.9793701171875
3.538,-60.4522705078125
3.633,-60.2655029296875
3.755,-60.084228515625
3.799,-59.9798583984375
3.967,-59.853515625
4.004,-61.10595703125
4.139,-60.919189453125
4.233,-60.7708740234375
4.353,-60.7159423828125
4.443,-58.9141845703125
4.55,-58.77685546875
4.611,-58.9801025390625
4.726,-60.6829833984375
4.82,-61.051025390625
4.949,-60.205078125
5.028,-62.2265625
5.161,-61.4190673828125
5.226,-63.380126953125
5.366,-63.91845703125
5.428,-62.9022216796875
5.55,-63.2098388671875
5.626,-64.7589111328125
5.76,-64.9346923828125
5.843,-65.093994140625
5.971,-65.2093505859375
6.027,-65.28076171875
6.147,-65.3466796875
6.244,-65.390625
6.355,-64.05029296875
6.446,-64.0228271484375
6.559,-65.2313232421875
6.632,-65.0994873046875
6.77,-64.8193359375
6.836,-63.17138671875
6.947,-62.9461669921875
7.054,-62.64404296875
7.164,-63.9019775390625
7.27,-63.841552734375
7.368,-63.7701416015625
7.438,-63.7921142578125
7.562,-63.8031005859375
7.648,-63.8031005859375
7.765,-63.885498046875
7.867,-63.8525390625
7.98,-63.8690185546875
8.039,-63.87451171875
8.159,-63.80859375
8.254,-63.8031005859375
8.372,-63.80859375
8.464,-63.8140869140625
8.582,-63.863525390625
8.673,-63.8525390625
8.792,-63.8580322265625
8.844,-63.8690185546875
8.969,-63.8360595703125
9.063,-63.7921142578125
9.176,-63.7701416015625
9.28,-63.6602783203125
9.391,-63.424072265625
9.442,-61.6827392578125
9.569,-61.3201904296875
9.659,-62.3968505859375
9.785,-62.0123291015625
9.876,-60.281982421875
9.991,-59.864501953125
10.081,-60.9521484375
10.205,-60.6500244140625
10.253,-58.95263671875
10.374,-58.6944580078125
10.471,-58.4088134765625
10.585,-59.512939453125
10.678,-59.1009521484375
10.803,-57.5518798828125
10.854,-59.117431640625
10.986,-59.23828125
11.075,-59.2987060546875
11.192,-59.39208984375
11.283,-59.43603515625
11.402,-59.4744873046875
11.488,-59.556884765625
11.617,-59.6282958984375
11.661,-59.710693359375
11.789,-58.3758544921875
11.881,-58.4197998046875
11.998,-58.4747314453125
12.087,-58.4857177734375
12.202,-58.5296630859375
12.264,-58.5845947265625
12.383,-58.6175537109375
12.468,-58.656005859375
12.588,-58.6944580078125
12.682,-58.7384033203125
12.804,-58.7713623046875
12.9,-58.8153076171875
13.021,-58.7548828125
13.072,-58.656005859375
13.198,-58.5845947265625
13.288,-58.7054443359375
13.412,-58.798828125
13.492,-58.7493896484375
13.615,-58.546142578125
13.68,-59.6502685546875
13.799,-59.34814453125
13.896,-57.6397705078125
14.001,-57.2882080078125
14.085,-57.15087890625
14.214,-57.01904296875
14.306,-57.12890625
14.42,-57.19482421875
14.489,-57.052001953125
14.602,-58.2550048828125
14.707,-57.974853515625
14.811,-57.7276611328125
14.911,-56.14013671875
15.022,-56.041259765625
15.087,-56.18408203125
15.207,-57.8265380859375
15.306,-57.8759765625
15.422,-57.9144287109375
15.51,-57.974853515625
15.623,-58.02978515625
15.73,-58.24951171875
15.836,-57.1673583984375
15.898,-59.08447265625
16.024,-59.5843505859375
16.121,-58.6065673828125
16.234,-60.545654296875
16.322,-60.9136962890625
16.446,-59.8095703125
16.491,-60.0732421875
16.618,-60.2435302734375
16.714,-60.4302978515625
16.834,-61.9683837890625
16.926,-62.1441650390625
17.042,-62.2705078125
17.137,-62.2705078125
17.256,-62.3199462890625
17.303,-62.435302734375
17.434,-62.4847412109375
17.521,-62.4737548828125
17.645,-62.4627685546875
17.734,-62.3748779296875
17.857,-62.2979736328125
17.901,-62.2540283203125
18.025,-62.20458984375
18.116,-62.2705078125
18.241,-62.314453125
18.332,-62.3638916015625
18.454,-62.4957275390625
18.538,-62.5286865234375
18.666,-62.578125
18.717,-61.204833984375
18.844,-62.578125
18.929,-61.19384765625
19.049,-61.2103271484375
19.136,-61.2213134765625
19.265,-61.28173828125
19.311,-61.28173828125
19.433,-61.292724609375
19.526,-61.3092041015625
19.646,-61.3037109375
19.739,-61.2542724609375
19.862,-61.2762451171875
19.954,-61.270751953125
20.073,-61.2872314453125
20.12,-61.28173828125
20.244,-62.3089599609375
20.334,-60.238037109375
20.461,-61.1444091796875
20.549,-60.6500244140625
20.668,-58.6724853515625
20.721,-59.468994140625
20.852,-57.5958251953125
20.931,-57.183837890625
21.057,-58.2440185546875
21.149,-58.24951171875
21.269,-57.3046875
21.357,-57.5518798828125
21.484,-57.59033203125
21.542,-57.447509765625
21.65,-57.381591796875
21.744,-57.359619140625
21.855,-57.41455078125
21.953,-57.359619140625
22.078,-57.2662353515625
22.131,-57.1783447265625
22.253,-57.1234130859375
22.35,-57.1728515625
22.46,-57.0245361328125
22.559,-58.11767578125
22.679,-57.7496337890625
22.762,-55.87646484375
22.887,-55.5963134765625
22.954,-56.7608642578125
23.076,-56.6070556640625
23.162,-56.7279052734375
23.276,-56.7498779296875
23.371,-56.5631103515625
23.483,-56.2884521484375
23.553,-54.525146484375
23.673,-54.38232421875
23.767,-54.2889404296875
23.879,-54.2779541015625
23.973,-54.1790771484375
24.097,-55.43701171875
24.18,-55.2886962890625
24.295,-55.1953125
24.361,-55.1788330078125
24.481,-55.2667236328125
24.572,-55.4864501953125
24.695,-55.546875
24.784,-54.20654296875
24.908,-54.4207763671875
24.953,-54.6295166015625
25.077,-54.8272705078125
25.169,-56.4532470703125
25.29,-56.9091796875
25.382,-56.0247802734375
25.508,-57.9913330078125
25.586,-57.205810546875
25.716,-59.2108154296875
25.762,-58.4088134765625
25.898,-58.831787109375
25.981,-60.5401611328125
26.103,-60.7708740234375
26.185,-60.963134765625
26.322,-61.083984375
26.362,-61.138916015625
26.493,-59.8919677734375
26.582,-59.96337890625
26.698,-60.062255859375
26.792,-60.0732421875
26.917,-60.1666259765625
27.009,-60.22705078125
27.124,-60.27099609375
27.172,-60.325927734375
27.285,-60.281982421875
27.391,-60.3204345703125
27.517,-60.391845703125
27.601,-60.4632568359375
27.721,-61.8914794921875
27.774,-61.9793701171875
27.907,-61.9903564453125
27.98,-62.0343017578125
28.113,-62.0947265625
28.191,-62.0672607421875
28.321,-62.1112060546875
28.408,-62.1221923828125
28.53,-62.0782470703125
28.58,-62.07275390625
28.705,-62.083740234375
28.798,-62.127685546875
28.923,-62.1881103515625
29.017,-62.193603515625
29.133,-62.215576171875
29.189,-62.2210693359375
29.314,-62.215576171875
29.391,-62.171630859375
29.52,-62.1990966796875
29.607,-62.1881103515625
29.726,-62.1990966796875
29.809,-62.2705078125
29.94,-62.24853515625
30.013,-62.2760009765625
30.114,-62.2705078125
30.215,-62.2210693359375
30.326,-62.171630859375
30.41,-60.2984619140625
30.534,-60.9686279296875
30.597,-60.5181884765625
30.719,-58.53515625
30.807,-59.3975830078125
30.923,-57.403564453125
31.012,-58.2769775390625
31.135,-57.7935791015625
31.231,-57.8924560546875
31.347,-58.326416015625
31.407,-57.139892578125
31.53,-57.3431396484375
31.619,-57.48046875
31.737,-57.5628662109375
31.831,-57.59033203125
31.943,-57.6123046875
32.01,-57.579345703125
32.14,-57.5079345703125
32.219,-57.5738525390625
32.344,-57.557373046875
32.433,-57.535400390625
32.542,-57.5079345703125
32.629,-57.2991943359375
32.751,-58.238525390625
32.814,-57.9364013671875
32.943,-57.9638671875
33.027,-56.2335205078125
33.153,-55.8599853515625
33.244,-56.876220703125
33.368,-56.8927001953125
33.414,-55.601806640625
33.544,-55.5908203125
33.632,-55.6842041015625
33.75,-56.1346435546875
33.839,-56.063232421875
33.968,-55.9259033203125
34.016,-55.6787109375
34.169,-56.876220703125
34.231,-55.5963134765625
34.358,-55.9808349609375
34.439,-57.8045654296875
34.559,-58.1341552734375
34.655,-58.282470703125
34.775,-58.304443359375
34.819,-57.06298828125
34.947,-57.2991943359375
35.029,-57.557373046875
35.159,-59.2767333984375
35.247,-59.7161865234375
35.374,-58.765869140625
35.422,-60.589599609375
35.585,-60.9246826171875
35.628,-59.776611328125
35.759,-60.0128173828125
35.854,-60.1666259765625
35.973,-60.3204345703125
36.059,-60.3973388671875
36.18,-60.3369140625
36.24,-60.3094482421875
36.36,-60.29296875
36.453,-60.3204345703125
36.567,-60.347900390625
36.648,-60.40283203125
36.784,-61.9244384765625
36.836,-61.9793701171875
36.994,-62.0672607421875
37.04,-62.061767578125
37.16,-62.0892333984375
37.252,-62.1331787109375
37.375,-62.1441650390625
37.466,-62.1221923828125
37.591,-62.0947265625
37.651,-62.149658203125
37.767,-62.16064453125
37.864,-62.20458984375
37.973,-62.2320556640625
38.059,-62.2265625
38.19,-62.2540283203125
38.248,-62.2430419921875
38.401,-62.2210693359375
38.463,-62.193603515625
38.573,-62.237548828125
38.671,-62.24853515625
38.785,-62.281494140625
38.884,-62.29248046875
38.999,-62.29248046875
39.053,-62.303466796875
39.183,-62.29248046875
39.273,-62.24853515625
39.389,-62.2705078125
39.481,-62.281494140625
39.593,-62.29248046875
39.661,-62.3309326171875
39.805,-62.303466796875
39.861,-62.3309326171875
39.992,-62.3309326171875
40.081,-62.3199462890625
40.202,-62.149658203125
40.286,-60.1556396484375
40.404,-60.831298828125
40.46,-58.941650390625
40.593,-58.436279296875
40.678,-59.2547607421875
40.801,-57.3980712890625
40.889,-56.964111328125
41.015,-58.095703125
41.055,-57.799072265625
41.193,-57.8045654296875
41.282,-58.0352783203125
41.412,-58.2275390625
41.493,-57.030029296875
41.614,-57.2442626953125
41.699,-57.3760986328125
41.827,-57.3760986328125
41.877,-57.41455078125
42.0,-57.4639892578125
42.086,-57.3211669921875
42.217,-57.12890625
42.298,-58.216552734375
42.421,-57.744140625
42.476,-55.887451171875
42.6,-55.634765625
42.69,-56.93115234375
42.804,-56.9091796875
42.896,-56.920166015625
43.031,-56.8707275390625
43.115,-56.7279052734375
43.237,-56.6070556640625
43.279,-56.4971923828125
43.41,-56.3433837890625
43.497,-54.7119140625
43.621,-54.5965576171875
43.711,-54.5086669921875
43.827,-54.4757080078125
43.881,-54.47021484375
44.005,-54.4647216796875
44.09,-54.503173828125
44.222,-54.55810546875
44.312,-54.6844482421875
44.432,-56.31591796875
44.509,-56.568603515625
44.639,-56.766357421875
44.69,-55.61279296875
44.816,-55.931396484375
44.905,-57.7276611328125
45.037,-58.1671142578125
45.116,-57.15087890625
45.234,-57.5738525390625
45.297,-59.326171875
