seconds,data
0.0,-75.05859375
0.08,-74.94873046875
0.205,-74.81689453125
0.296,-72.916259765625
0.42,-73.6248779296875
0.52,-73.36669921875
0.623,-71.52099609375
0.687,-71.0980224609375
0.81,-71.3177490234375
0.899,-72.213134765625
1.025,-71.8505859375
1.111,-70.1641845703125
1.233,-70.0213623046875
1.286,-69.8455810546875
1.401,-69.8455810546875
1.504,-69.9334716796875
1.626,-70.0762939453125
1.718,-71.91650390625
1.835,-71.2353515625
1.924,-73.355712890625
2.044,-72.5537109375
2.091,-73.070068359375
2.221,-75.069580078125
2.308,-74.0533447265625
2.433,-74.3609619140625
2.531,-76.0968017578125
2.644,-76.2835693359375
2.689,-76.4373779296875
2.821,-76.4923095703125
2.907,-76.5966796875
3.02,-75.2783203125
3.12,-75.3277587890625
3.241,-75.4156494140625
3.331,-75.421142578125
3.45,-75.4595947265625
3.503,-75.47607421875
3.631,-75.4266357421875
3.714,-75.443115234375
3.837,-75.465087890625
3.929,-75.4705810546875
4.05,-75.52001953125
4.099,-75.377197265625
4.23,-76.4703369140625
4.314,-75.9814453125
4.437,-74.014892578125
4.529,-74.8883056640625
4.656,-72.982177734375
4.736,-72.4658203125
4.858,-73.443603515625
4.923,-71.6802978515625
5.029,-71.3616943359375
5.126,-71.0980224609375
5.241,-72.31201171875
5.332,-72.169189453125
5.451,-72.037353515625
5.525,-71.9384765625
5.628,-71.9769287109375
5.739,-72.103271484375
5.847,-72.3394775390625
5.945,-71.1968994140625
6.06,-71.4715576171875
6.141,-71.69677734375
6.265,-73.4381103515625
6.328,-73.8226318359375
6.444,-72.894287109375
6.54,-74.7015380859375
6.652,-75.135498046875
6.746,-74.058837890625
6.866,-74.454345703125
6.925,-76.146240234375
7.047,-76.3275146484375
7.143,-76.552734375
7.255,-75.3277587890625
7.355,-75.4815673828125
7.471,-75.552978515625
7.562,-75.5419921875
7.667,-75.531005859375
7.741,-75.6573486328125
7.866,-75.706787109375
7.954,-75.7562255859375
8.074,-75.8001708984375
8.151,-75.8001708984375
8.274,-75.816650390625
8.332,-75.816650390625
8.45,-75.7781982421875
8.554,-75.7672119140625
8.677,-75.509033203125
8.756,-76.44287109375
8.888,-76.0528564453125
8.959,-74.1851806640625
9.089,-75.157470703125
9.141,-74.7784423828125
9.27,-72.894287109375
9.361,-72.520751953125
9.486,-73.5699462890625
9.572,-73.2733154296875
9.69,-71.52099609375
9.74,-71.3067626953125
9.873,-71.202392578125
9.963,-71.158447265625
10.081,-71.0430908203125
10.17,-72.301025390625
10.289,-72.31201171875
10.378,-71.026611328125
10.505,-71.3067626953125
10.552,-71.6363525390625
10.68,-73.443603515625
10.768,-72.4383544921875
10.89,-72.8778076171875
10.988,-74.6905517578125
11.104,-75.0091552734375
11.144,-73.9654541015625
11.279,-74.278564453125
11.367,-76.0089111328125
11.491,-76.2396240234375
11.575,-76.4044189453125
11.692,-75.2838134765625
11.793,-75.41015625
11.914,-75.498046875
11.959,-75.596923828125
12.088,-75.6573486328125
12.172,-75.7122802734375
12.297,-75.7012939453125
12.387,-75.7342529296875
12.511,-75.794677734375
12.574,-75.8221435546875
12.688,-75.8770751953125
12.77,-75.882568359375
12.894,-75.8990478515625
12.977,-75.91552734375
13.106,-75.87158203125
13.169,-75.8331298828125
13.319,-75.728759765625
13.373,-75.3387451171875
13.495,-76.2835693359375
13.591,-74.476318359375
13.705,-74.080810546875
13.796,-75.0970458984375
13.915,-74.6466064453125
13.978,-72.88330078125
14.103,-72.509765625
14.191,-73.5809326171875
14.301,-73.388671875
14.403,-73.2293701171875
14.52,-73.14697265625
14.574,-71.69677734375
14.727,-71.663818359375
14.784,-71.663818359375
14.915,-73.2073974609375
15.0,-73.465576171875
15.121,-72.44384765625
15.209,-72.79541015625
15.323,-74.608154296875
15.385,-74.981689453125
15.516,-73.970947265625
15.599,-74.3170166015625
15.728,-76.00341796875
15.816,-76.3275146484375
15.935,-76.552734375
15.981,-75.355224609375
16.142,-75.5035400390625
16.19,-75.5584716796875
16.318,-75.65185546875
16.419,-75.7452392578125
16.529,-75.794677734375
16.615,-75.882568359375
16.747,-75.8935546875
16.791,-75.926513671875
16.92,-77.354736328125
17.021,-75.9320068359375
17.133,-75.904541015625
17.226,-77.376708984375
17.346,-77.4041748046875
17.398,-77.431640625
17.552,-77.4371337890625
17.605,-77.376708984375
17.73,-75.73974609375
17.821,-76.6351318359375
17.947,-76.0693359375
18.023,-74.234619140625
18.153,-75.157470703125
18.199,-74.68505859375
18.33,-72.9052734375
18.424,-72.53173828125
18.542,-73.63037109375
18.63,-73.3721923828125
18.744,-73.157958984375
18.8,-71.5374755859375
18.934,-71.400146484375
19.023,-71.2957763671875
19.145,-71.3177490234375
19.226,-71.3671875
19.346,-71.5869140625
19.44,-73.333740234375
19.563,-73.773193359375
19.61,-72.784423828125
19.734,-74.608154296875
19.819,-75.0970458984375
19.953,-74.0972900390625
20.041,-74.476318359375
20.15,-76.1627197265625
20.22,-76.4208984375
20.332,-75.2838134765625
20.424,-75.4266357421875
