seconds,data
0.0,-70.4278564453125
0.054,-70.477294921875
0.179,-70.6036376953125
0.265,-70.5267333984375
0.396,-70.5816650390625
0.481,-70.916748046875
0.594,-69.8675537109375
0.662,-69.9554443359375
0.78,-69.6588134765625
0.874,-69.6258544921875
0.986,-70.94970703125
1.08,-70.7684326171875
1.199,-70.6915283203125
1.294,-70.6201171875
1.414,-70.4937744140625
1.464,-70.5157470703125
1.593,-70.4937744140625
1.678,-70.5267333984375
1.8,-70.4937744140625
1.897,-70.5157470703125
2.011,-70.5267333984375
2.061,-70.42236328125
2.184,-70.477294921875
2.272,-70.4443359375
2.404,-70.46630859375
2.491,-70.4608154296875
2.619,-70.4718017578125
2.701,-70.4937744140625
2.815,-70.4827880859375
2.873,-70.4388427734375
3.001,-70.4278564453125
3.087,-70.4498291015625
3.21,-70.4827880859375
3.295,-70.4498291015625
3.427,-70.4937744140625
3.483,-70.477294921875
3.592,-68.543701171875
3.694,-70.8123779296875
3.807,-69.9774169921875
3.9,-69.93896484375
4.014,-69.9224853515625
4.106,-69.8126220703125
4.229,-71.015625
4.287,-70.8837890625
4.405,-70.6036376953125
4.505,-70.6146240234375
4.612,-70.543212890625
4.719,-70.5377197265625
4.823,-70.521240234375
4.886,-70.5322265625
5.013,-70.55419921875
5.098,-70.499267578125
5.215,-70.51025390625
5.314,-70.433349609375
5.427,-70.4498291015625
5.51,-70.4827880859375
5.628,-70.46630859375
5.689,-70.499267578125
5.828,-70.4937744140625
5.899,-70.4498291015625
6.045,-70.5322265625
6.123,-70.7464599609375
6.247,-70.5596923828125
6.294,-70.6805419921875
6.426,-70.15869140625
6.517,-72.125244140625
6.637,-71.8560791015625
6.72,-70.3070068359375
6.846,-70.0433349609375
6.933,-69.7906494140625
7.055,-69.664306640625
7.106,-70.9332275390625
7.231,-70.9112548828125
7.321,-70.9002685546875
7.436,-70.8013916015625
7.533,-70.784912109375
7.658,-70.77392578125
7.707,-70.7904052734375
7.834,-70.7574462890625
7.922,-70.7794189453125
8.046,-70.784912109375
8.133,-70.6805419921875
8.259,-70.72998046875
8.343,-70.7025146484375
8.468,-70.718994140625
8.527,-70.7025146484375
8.645,-70.7244873046875
8.733,-70.740966796875
8.857,-70.7244873046875
8.941,-70.7080078125
9.062,-70.6585693359375
9.114,-70.6805419921875
9.24,-70.7080078125
9.331,-70.6915283203125
9.453,-70.740966796875
9.542,-70.7574462890625
9.664,-70.7464599609375
9.712,-70.90576171875
9.876,-68.5052490234375
9.93,-69.9114990234375
10.056,-71.9219970703125
10.148,-71.8011474609375
10.266,-70.2410888671875
10.346,-70.15869140625
10.475,-69.6697998046875
10.522,-70.9661865234375
10.649,-70.7958984375
10.736,-70.751953125
10.857,-70.7135009765625
10.95,-70.718994140625
11.077,-70.740966796875
11.132,-70.675048828125
11.278,-70.68603515625
11.347,-70.609130859375
11.456,-70.6256103515625
11.548,-70.6585693359375
11.662,-70.6475830078125
11.753,-70.6695556640625
11.875,-70.6640625
11.932,-70.6256103515625
12.056,-70.6036376953125
12.154,-70.6201171875
12.268,-70.653076171875
12.363,-70.6256103515625
12.474,-70.6640625
12.537,-70.6805419921875
12.687,-70.631103515625
12.748,-70.68603515625
12.877,-70.7684326171875
12.96,-68.631591796875
13.078,-69.67529296875
13.17,-70.1971435546875
13.284,-70.2081298828125
13.353,-70.147705078125
