seconds,data
0.0,-66.2310791015625
0.095,-66.20361328125
0.19,-66.2091064453125
0.317,-66.20361328125
0.363,-66.1431884765625
0.489,-66.181640625
0.579,-64.6160888671875
0.705,-64.346923828125
0.794,-65.3851318359375
0.913,-65.0006103515625
0.995,-63.2537841796875
1.122,-62.8802490234375
1.18,-62.6715087890625
1.302,-63.753662109375
1.397,-63.47900390625
1.509,-63.39111328125
1.606,-61.85302734375
1.718,-61.7926025390625
1.777,-61.6387939453125
1.899,-61.5509033203125
1.988,-61.512451171875
2.118,-61.4410400390625
2.199,-61.5179443359375
2.321,-61.534423828125
2.408,-61.4959716796875
2.538,-61.3201904296875
2.583,-61.226806640625
2.709,-62.578125
2.801,-62.51220703125
2.925,-62.5396728515625
3.011,-62.501220703125
3.126,-62.51220703125
3.18,-61.2322998046875
3.301,-61.2872314453125
3.389,-61.270751953125
3.514,-61.380615234375
3.598,-61.556396484375
3.723,-61.578369140625
3.819,-61.6058349609375
3.941,-61.72119140625
3.993,-63.30322265625
4.107,-63.358154296875
4.204,-63.4295654296875
4.321,-63.5833740234375
4.415,-63.69873046875
4.538,-63.885498046875
4.6,-62.720947265625
4.714,-62.9296875
4.796,-63.072509765625
4.919,-63.1329345703125
5.015,-63.116455078125
5.139,-63.2318115234375
5.223,-64.7149658203125
5.346,-64.7698974609375
5.41,-64.8907470703125
5.522,-65.0225830078125
5.609,-65.1544189453125
5.735,-65.3466796875
5.823,-64.2535400390625
5.952,-64.5556640625
6.0,-66.2860107421875
6.125,-66.6595458984375
6.222,-65.533447265625
6.341,-65.753173828125
6.429,-65.972900390625
6.542,-67.5714111328125
6.634,-67.6483154296875
6.749,-67.7362060546875
6.818,-67.74169921875
6.94,-67.686767578125
7.028,-67.664794921875
7.143,-67.5933837890625
7.241,-67.554931640625
7.352,-66.0498046875
7.422,-65.994873046875
7.544,-65.91796875
7.633,-65.9234619140625
7.748,-65.63232421875
7.835,-66.7913818359375
7.955,-66.73095703125
8.053,-66.6156005859375
8.165,-66.55517578125
8.229,-66.4013671875
8.35,-66.15966796875
8.442,-64.6160888671875
8.556,-64.6875
8.654,-64.6875
8.772,-64.6710205078125
8.819,-66.1431884765625
8.963,-66.1102294921875
9.032,-66.1322021484375
9.163,-66.1376953125
9.255,-66.1212158203125
9.371,-64.6820068359375
9.461,-66.1431884765625
9.583,-66.15966796875
9.642,-66.1871337890625
9.759,-66.20361328125
9.849,-66.2091064453125
9.959,-66.2200927734375
10.061,-66.20361328125
10.179,-66.1761474609375
10.238,-66.214599609375
10.362,-66.192626953125
10.445,-66.1651611328125
10.57,-66.236572265625
10.658,-66.192626953125
10.786,-66.2091064453125
10.869,-66.1981201171875
10.99,-66.1431884765625
11.043,-66.181640625
11.17,-66.1651611328125
11.263,-66.15966796875
11.38,-66.2091064453125
11.465,-66.170654296875
11.589,-66.192626953125
11.64,-66.181640625
11.772,-66.1376953125
11.854,-66.170654296875
11.974,-66.1651611328125
12.067,-66.170654296875
12.188,-66.214599609375
12.278,-66.1871337890625
12.401,-66.20361328125
12.449,-66.20361328125
12.572,-66.1651611328125
12.661,-66.1431884765625
12.79,-64.588623046875
12.876,-64.2645263671875
12.993,-65.2587890625
13.063,-64.9017333984375
13.176,-63.1658935546875
13.265,-62.8857421875
13.387,-63.9404296875
13.475,-63.7042236328125
13.595,-63.314208984375
13.68,-61.5179443359375
13.808,-61.182861328125
13.872,-62.347412109375
13.975,-62.1771240234375
14.075,-62.0068359375
14.19,-61.962890625
14.276,-61.885986328125
14.402,-60.4522705078125
14.461,-60.3643798828125
14.598,-60.0347900390625
14.676,-59.820556640625
14.79,-60.919189453125
14.89,-60.6500244140625
15.01,-60.49072265625
15.103,-58.9361572265625
15.217,-58.831787109375
15.284,-58.6724853515625
15.395,-58.5626220703125
15.492,-58.458251953125
15.615,-58.3648681640625
15.703,-59.6337890625
15.809,-59.5294189453125
15.876,-59.4635009765625
15.988,-59.403076171875
16.094,-59.3701171875
16.212,-59.3096923828125
16.299,-59.2218017578125
16.42,-59.1448974609375
16.508,-57.6287841796875
16.635,-57.5518798828125
16.683,-57.5244140625
16.814,-57.469482421875
16.902,-57.447509765625
17.025,-57.447509765625
17.11,-57.447509765625
17.23,-57.447509765625
17.281,-57.469482421875
17.413,-57.513427734375
17.503,-57.557373046875
17.623,-59.12841796875
17.714,-59.4085693359375
17.835,-58.38134765625
17.918,-58.809814453125
18.048,-60.743408203125
18.094,-59.8040771484375
18.224,-60.238037109375
18.312,-62.02880859375
18.432,-62.391357421875
18.519,-61.446533203125
18.644,-61.8035888671875
18.689,-63.5064697265625
18.818,-63.863525390625
18.902,-62.7374267578125
19.031,-63.006591796875
19.124,-63.160400390625
19.231,-63.28125
19.332,-64.7369384765625
19.455,-64.8358154296875
19.501,-64.984130859375
19.625,-65.0555419921875
19.716,-65.1434326171875
19.833,-65.1873779296875
19.93,-65.2313232421875
20.054,-65.2752685546875
20.099,-65.302734375
20.226,-65.313720703125
20.311,-65.291748046875
20.445,-65.3851318359375
20.529,-63.995361328125
20.65,-64.0118408203125
20.737,-64.0667724609375
20.859,-64.061279296875
20.909,-64.0777587890625
21.033,-64.0777587890625
21.118,-64.0777587890625
21.244,-64.0557861328125
21.334,-64.1107177734375
21.45,-64.1107177734375
21.509,-64.09423828125
21.625,-64.1656494140625
21.729,-64.1326904296875
21.842,-64.16015625
21.924,-64.16015625
22.058,-64.171142578125
22.114,-64.1326904296875
22.265,-64.1876220703125
22.329,-64.2041015625
22.442,-64.2095947265625
22.539,-64.248046875
22.654,-64.237060546875
22.758,-64.2425537109375
22.86,-64.22607421875
22.932,-64.1986083984375
23.051,-64.237060546875
23.147,-64.2205810546875
23.26,-64.2041015625
23.353,-64.2645263671875
23.464,-64.2315673828125
23.535,-64.259033203125
23.682,-64.2535400390625
23.74,-64.215087890625
23.864,-64.2535400390625
23.953,-64.16015625
24.068,-65.3302001953125
24.156,-64.9676513671875
24.281,-63.1878662109375
24.344,-62.8912353515625
24.466,-62.633056640625
24.552,-63.7591552734375
24.677,-63.533935546875
24.763,-63.292236328125
24.887,-61.611328125
24.933,-61.4080810546875
25.095,-62.523193359375
25.144,-62.347412109375
25.271,-62.16064453125
25.358,-61.98486328125
25.486,-60.3753662109375
25.571,-60.1446533203125
25.69,-59.9468994140625
25.739,-61.083984375
25.869,-60.897216796875
25.96,-60.699462890625
26.083,-60.4962158203125
26.176,-58.8592529296875
26.296,-58.623046875
26.339,-58.502197265625
26.5,-58.4033203125
26.556,-58.3978271484375
26.681,-59.765625
26.772,-59.677734375
26.888,-59.6722412109375
26.979,-59.666748046875
27.099,-59.622802734375
27.15,-59.556884765625
27.279,-59.4964599609375
27.364,-59.425048828125
27.489,-59.3646240234375
27.584,-59.30419921875
27.705,-59.2657470703125
27.749,-59.271240234375
27.882,-59.3096923828125
27.956,-59.425048828125
28.084,-59.6063232421875
28.181,-58.447265625
28.302,-58.7713623046875
28.385,-60.5511474609375
28.508,-60.9136962890625
28.56,-59.864501953125
28.688,-60.1611328125
28.773,-60.4193115234375
28.894,-62.05078125
28.993,-62.2705078125
29.107,-62.545166015625
29.177,-61.3861083984375
29.283,-61.611328125
29.382,-61.7596435546875
29.489,-63.4185791015625
29.583,-63.709716796875
29.706,-63.9019775390625
29.796,-62.6824951171875
29.915,-62.874755859375
29.971,-63.03955078125
30.086,-63.182373046875
30.187,-64.698486328125
30.302,-64.764404296875
30.397,-64.786376953125
30.518,-64.962158203125
30.577,-65.0335693359375
30.71,-65.06103515625
30.798,-65.137939453125
30.912,-65.1544189453125
30.992,-65.1873779296875
31.113,-65.203857421875
31.21,-65.225830078125
31.32,-65.203857421875
31.388,-65.269775390625
31.507,-65.28076171875
31.606,-65.2642822265625
31.719,-65.32470703125
