seconds,data
0.0,-62.5341796875
0.09,-62.5616455078125
0.22,-62.55615234375
0.306,-61.182861328125
0.43,-62.391357421875
0.479,-62.0123291015625
0.603,-60.1885986328125
0.68,-61.0784912109375
0.814,-60.655517578125
0.913,-58.9306640625
1.016,-58.7054443359375
1.107,-58.4417724609375
1.228,-59.622802734375
1.284,-59.4305419921875
1.421,-59.2437744140625
1.516,-59.2108154296875
1.624,-59.2218017578125
1.718,-59.2108154296875
1.837,-59.249267578125
1.888,-59.1998291015625
2.008,-59.249267578125
2.105,-59.2547607421875
2.228,-59.2877197265625
2.316,-59.2822265625
2.439,-59.30419921875
2.529,-59.26025390625
2.655,-59.23828125
2.699,-59.2547607421875
2.828,-59.271240234375
2.912,-59.2767333984375
3.026,-59.249267578125
3.128,-59.2767333984375
3.238,-59.183349609375
3.295,-59.2108154296875
3.425,-59.249267578125
3.51,-59.271240234375
3.631,-59.2987060546875
3.719,-59.326171875
3.844,-59.315185546875
3.931,-59.3756103515625
4.053,-59.52392578125
4.107,-59.556884765625
4.232,-59.5513916015625
4.316,-59.5294189453125
4.445,-59.5184326171875
4.535,-59.4964599609375
4.654,-59.5513916015625
4.716,-59.4964599609375
4.828,-59.490966796875
4.919,-59.512939453125
5.035,-59.5184326171875
5.133,-59.5404052734375
5.245,-59.56787109375
5.337,-59.58984375
5.463,-59.5843505859375
5.526,-59.5294189453125
5.644,-59.556884765625
5.745,-59.58984375
5.846,-59.5733642578125
5.934,-59.5953369140625
6.061,-59.6173095703125
6.124,-59.622802734375
6.248,-59.56787109375
6.343,-59.534912109375
6.446,-59.52392578125
6.546,-59.56787109375
6.66,-59.5733642578125
6.759,-59.6173095703125
6.868,-59.688720703125
6.938,-58.5736083984375
7.06,-59.0240478515625
7.154,-60.84228515625
7.267,-61.1663818359375
7.357,-60.09521484375
7.469,-60.3973388671875
7.539,-62.0892333984375
7.658,-62.303466796875
7.748,-62.4737548828125
7.868,-61.3531494140625
7.96,-61.468505859375
8.08,-61.5618896484375
8.127,-61.688232421875
8.288,-61.8255615234375
8.34,-63.3197021484375
8.469,-63.3526611328125
8.558,-63.402099609375
8.675,-63.5009765625
8.769,-63.5284423828125
8.887,-63.52294921875
8.94,-63.555908203125
9.067,-63.577880859375
9.155,-63.61083984375
9.269,-63.5888671875
9.369,-63.6328125
9.496,-63.643798828125
9.538,-63.665771484375
9.696,-63.6383056640625
9.753,-63.6602783203125
9.873,-63.6767578125
9.962,-63.6712646484375
10.084,-63.65478515625
10.18,-63.731689453125
10.299,-63.665771484375
10.346,-63.4130859375
10.475,-61.63330078125
10.565,-61.3092041015625
10.685,-62.523193359375
10.78,-62.2540283203125
10.903,-62.0782470703125
10.945,-62.1331787109375
11.107,-62.1551513671875
11.157,-62.07275390625
11.285,-62.105712890625
11.364,-62.1441650390625
11.5,-62.1771240234375
11.578,-62.1771240234375
11.694,-62.215576171875
11.759,-62.2210693359375
11.879,-62.193603515625
11.964,-62.2265625
12.082,-62.2430419921875
12.174,-62.2320556640625
12.306,-62.3199462890625
12.369,-62.2979736328125
12.512,-62.281494140625
12.571,-62.259521484375
12.696,-62.259521484375
12.776,-62.29248046875
12.895,-62.281494140625
12.988,-62.314453125
13.114,-62.3309326171875
13.178,-62.29248046875
13.287,-62.303466796875
13.387,-62.3309326171875
13.5,-62.29248046875
13.59,-62.3419189453125
13.711,-62.33642578125
13.769,-62.33642578125
13.9,-62.3199462890625
13.989,-62.3199462890625
14.096,-62.3529052734375
14.194,-62.33642578125
14.312,-62.3309326171875
14.4,-62.369384765625
14.515,-62.40234375
14.59,-62.3748779296875
