seconds,data
0.0,1107721
0.088,1107304
0.179,1108397
0.31,1108996
0.393,1109625
0.532,1111044
0.605,1111560
0.695,1111598
0.821,1111431
0.895,1112204
1.023,1113666
1.108,1119506
1.21,1127882
1.331,1140462
1.41,1145901
1.531,1151457
1.627,1157619
1.721,1163617
1.836,1168690
1.92,1173173
2.045,1183326
2.13,1188334
2.232,1193234
2.349,1197419
2.429,1200720
2.553,1202216
2.643,1200997
2.743,1197901
2.864,1191679
2.944,1188156
3.067,1183396
3.154,1177748
3.235,1171233
3.356,1165179
3.468,1159987
3.587,1149046
3.667,1143476
3.757,1138456
3.881,1134663
3.971,1131757
4.096,1129012
4.18,1126467
4.26,1124428
4.379,1121231
4.468,1119503
4.594,1117465
4.692,1115037
4.779,1113660
4.901,1113521
4.981,1113060
5.105,1112253
5.189,1112087
5.298,1111891
5.415,1111379
5.5,1110450
5.619,1108957
5.706,1107335
5.798,1107294
5.924,1108199
6.004,1108591
6.127,1109035
6.215,1109403
6.301,1109709
6.43,1109630
6.526,1109191
6.643,1106701
6.732,1107541
6.822,1108541
6.931,1109092
7.018,1110111
7.157,1111852
7.244,1114650
7.344,1118504
7.451,1124060
7.53,1125367
7.65,1127504
7.759,1131241
7.835,1134891
7.952,1138648
8.04,1143043
8.167,1147469
8.25,1156333
8.352,1160042
8.466,1162396
8.553,1164046
8.675,1166043
8.762,1169030
8.859,1172548
8.991,1180004
9.067,1183109
9.185,1186039
9.272,1188413
9.355,1189740
9.479,1190931
9.587,1192779
9.697,1195481
9.785,1200712
9.868,1202318
9.997,1203113
10.094,1204071
10.214,1204735
10.301,1204759
10.379,1203265
10.504,1199301
10.595,1197433
10.708,1196489
10.816,1194003
10.894,1190105
11.016,1185522
11.103,1180104
11.231,1174027
11.313,1161541
11.407,1156116
11.522,1151368
11.611,1146540
11.73,1141879
11.82,1137784
11.929,1134132
12.03,1127151
12.121,1123545
12.244,1119487
12.336,1116049
12.421,1114127
12.551,1112716
12.638,1111611
12.755,1110846
12.846,1109674
12.927,1109397
13.05,1108714
13.14,1107692
13.259,1106087
13.363,1104660
13.447,1104941
13.567,1105808
13.653,1106140
13.768,1106298
13.872,1106530
13.962,1107025
14.073,1106828
14.161,1106013
14.278,1104466
14.381,1103637
14.465,1104261
14.589,1104856
14.67,1105617
14.793,1106098
14.877,1106569
14.986,1106950
15.091,1105418
15.185,1103530
15.31,1102790
15.398,1103736
15.487,1104642
15.611,1105478
15.699,1106212
15.815,1106782
15.909,1107367
15.991,1106769
16.11,1105252
16.219,1103454
16.339,1103854
16.419,1104975
16.505,1105932
