seconds,data
0.0,489509
0.123,487966
0.213,485577
0.305,486589
0.423,499340
0.513,530068
0.624,573979
0.727,572421
0.821,554256
0.946,543345
1.015,560800
1.14,587367
1.232,603439
1.324,593742
1.451,567945
1.538,592214
1.664,609423
1.733,601328
1.826,572599
1.96,549882
2.047,558148
2.168,617259
2.264,606545
2.343,570442
2.467,544461
2.546,547071
2.665,582199
2.766,614594
2.866,616643
2.981,547041
3.061,547065
3.186,587364
3.27,625823
3.368,635885
3.485,602851
3.573,562040
3.703,595827
3.789,632987
3.867,625846
3.985,572742
4.089,538218
4.205,547399
4.294,596289
4.376,629335
4.5,577017
4.589,547418
4.705,563015
4.798,614330
4.896,650961
5.013,648494
5.097,598275
5.232,556621
5.311,600400
5.406,639545
5.529,639056
5.615,592283
5.733,552124
5.819,546074
5.906,579194
6.026,623387
6.129,583682
6.243,545347
6.343,537803
6.414,569696
6.536,612401
6.627,629909
6.744,604326
6.844,549331
6.934,575725
7.063,614811
7.143,629067
7.254,599051
7.345,559767
7.449,548526
7.565,611046
7.655,631739
7.797,609474
7.852,563885
7.944,537878
8.067,550453
8.162,598009
8.283,628725
8.391,587255
8.456,550409
8.575,547588
8.669,589242
8.789,635711
8.885,651453
8.98,611045
9.099,529434
9.174,534303
9.306,584558
9.389,632177
9.483,639876
9.61,598657
9.696,552128
9.828,532268
9.901,590478
9.984,624128
10.107,619563
10.202,578326
10.33,542954
10.422,533103
10.497,555123
10.631,614120
10.709,600325
10.826,564056
10.917,540814
11.015,538302
11.142,566960
11.224,603251
11.344,612891
11.426,547337
11.524,530644
11.647,542490
11.734,582569
11.862,618375
11.935,620948
12.024,584895
12.148,542071
12.237,580142
12.365,623148
12.452,636500
12.543,607776
12.655,567027
12.747,541221
12.871,549258
12.96,627292
13.056,633994
13.189,601283
13.257,563476
13.381,553466
13.47,583799
13.568,624062
13.687,644578
13.784,579839
13.904,552966
13.986,560827
14.07,602638
14.182,631531
14.284,635903
14.404,604990
14.503,544164
14.574,543378
14.705,576076
14.79,609764
14.906,617299
14.995,589526
15.098,554870
15.224,536251
15.294,540612
15.418,573285
15.514,597592
15.607,596256
15.73,565330
15.817,537054
15.94,530934
16.019,591611
16.111,609962
16.224,597833
16.318,563122
16.445,539278
16.533,552533
16.619,593143
16.74,619102
16.826,586841
16.946,552888
17.037,540470
17.14,565014
17.261,603695
17.338,625999
17.464,618574
17.552,550684
17.645,542531
17.77,565277
17.859,604461
17.999,629316
18.059,624397
18.148,590870
18.268,557716
18.368,555969
18.487,603206
18.574,638072
18.659,644804
18.778,613385
18.87,570353
18.993,546680
19.089,563823
19.191,609036
19.299,634809
19.374,630648
19.503,591386
19.592,554751
19.677,537746
19.807,534954
19.895,604838
20.016,632525
20.094,632742
20.186,605276
20.316,570102
20.404,548443
20.524,546916
20.619,608351
20.697,631346
20.825,632616
20.907,605101
21.03,569365
21.124,547630
21.213,549543
21.343,583251
21.414,638885
21.537,630568
21.627,594092
21.726,558355
21.845,536350
21.941,523411
22.062,524270
22.144,549406
22.235,629854
22.348,655997
22.449,641072
22.569,588980
22.659,542948
22.749,519553
22.859,511365
22.944,563678
23.067,604576
23.163,638830
23.255,641161
23.384,600845
23.455,559210
23.583,533711
23.666,518169
23.768,542612
23.889,590124
23.979,625475
24.093,637176
24.185,605860
24.27,558341
24.385,530375
24.487,525276
24.598,562423
24.701,600613
24.776,620427
24.894,599228
24.998,556454
25.106,528965
25.205,515579
25.298,552603
25.424,590485
25.501,615989
25.615,609321
25.711,570108
25.81,539344
25.923,530012
26.018,570033
26.142,605570
26.216,634002
26.31,636411
26.43,601636
26.527,561215
26.639,538836
26.746,526966
26.817,551250
26.943,590064
27.027,626682
27.15,654007
27.24,649930
27.332,605636
27.454,563668
27.536,533244
27.657,545682
27.748,577449
27.848,617476
27.965,652597
28.058,666195
28.186,639237
28.253,593259
28.35,550759
28.471,542601
28.565,560184
28.69,604111
28.777,644576
28.856,669948
28.979,661222
29.064,571811
29.188,548181
29.289,534640
29.377,540670
29.504,581749
29.575,628085
29.707,656086
29.792,646018
29.885,556541
30.0,533258
30.094,524096
30.22,537811
30.297,581634
30.386,624166
30.508,648027
30.594,631724
30.719,552255
30.817,533431
30.905,523132
31.016,534987
31.114,579186
31.228,619044
31.322,640284
31.429,580446
31.544,546890
31.614,529591
31.741,520676
31.833,530466
31.927,573407
32.048,618022
32.14,642103
32.263,589636
32.338,555609
32.435,533930
32.547,523404
32.643,531675
32.766,570208
32.856,611051
32.935,616869
33.064,574614
33.154,545475
33.264,529896
33.366,522638
33.458,533387
33.591,573570
33.656,616984
33.787,631312
33.87,587194
33.97,552296
34.09,534718
34.172,528432
34.293,538712
34.374,574549
34.468,633154
34.602,613180
34.69,569965
34.809,541820
34.9,525166
34.98,518419
35.106,535941
35.184,570796
35.305,625807
35.412,612774
35.492,570718
35.623,537732
35.695,523116
35.824,516888
35.915,523167
35.997,581610
36.128,605004
36.229,598624
36.339,565076
36.416,536266
36.504,522483
36.629,516273
36.723,517230
36.839,555605
36.938,577728
37.018,597572
37.152,591503
37.226,551947
37.346,516036
37.448,497177
37.537,484146
37.654,502518
37.744,537281
37.855,578915
37.948,619010
38.044,648782
38.163,650435
38.269,605547
38.386,524093
38.455,508753
38.551,525020
38.67,572623
38.766,606360
38.879,621552
38.99,604720
39.055,530101
39.178,513678
39.266,509847
39.388,519407
39.48,555180
39.572,601623
39.711,635701
39.78,645560
39.905,572644
39.985,542991
40.088,529262
40.21,529502
40.292,551622
40.424,582406
40.495,607892
40.59,618223
40.705,560739
40.809,541181
40.919,529842
41.013,525019
41.098,539769
41.224,570883
41.306,601156
41.424,615622
41.527,589450
41.613,562323
41.738,541287
41.814,530600
41.939,542757
42.028,569537
42.131,595331
42.238,606718
42.353,567539
42.464,533825
42.541,524718
42.626,519107
42.745,519067
42.847,540456
42.962,586291
43.053,608548
43.144,613984
43.266,596613
43.345,571802
43.463,552662
43.561,534563
43.667,525184
43.783,555918
43.856,582520
43.982,607255
44.065,613628
44.172,589205
44.285,557391
44.38,537625
44.502,524355
44.579,540184
44.671,560552
44.786,583642
44.888,597704
45.014,586110
45.093,562431
45.181,542343
45.304,520654
45.394,537487
45.506,565948
45.611,589439
45.7,598109
45.815,584213
45.894,559937
46.034,524696
46.114,519551
46.203,529547
46.325,550886
46.414,569401
46.543,580138
46.615,580700
46.704,568861
46.823,537199
46.93,522987
47.044,525089
47.132,548951
47.224,576089
47.343,599249
47.43,609354
47.546,566008
47.639,544144
47.746,528382
47.859,522497
47.945,540167
48.055,572132
48.149,599418
48.234,613485
48.359,576144
48.465,549244
48.584,533025
48.656,524732
48.747,532177
48.866,559843
48.966,590515
49.081,611089
49.177,595382
49.255,564045
49.376,539768
49.469,526686
49.588,526593
49.688,550338
49.789,584579
