seconds,data
0.0,516146
0.097,511432
0.214,510821
0.315,519376
0.388,535712
0.511,555560
0.598,575658
0.72,596223
0.812,614483
0.918,628101
1.031,634933
1.112,631090
1.239,630817
1.322,630584
1.419,630085
1.539,630900
1.639,630482
1.753,629049
1.828,622004
1.924,622394
2.044,622835
2.135,622476
2.253,621120
2.357,618394
2.429,614530
2.558,614274
2.641,617517
2.757,622410
2.859,632251
2.946,643069
3.078,657638
3.16,674364
3.273,689178
3.364,705062
3.46,709579
3.569,713774
3.677,717336
3.793,720443
3.868,726541
3.958,733245
4.079,732915
4.178,722411
4.302,716533
4.391,712601
4.469,707349
4.596,698233
4.684,684701
4.797,669449
4.904,642793
4.998,630148
5.117,616127
5.188,604298
5.313,595225
5.403,585627
5.493,574571
5.619,565659
5.71,551462
5.826,544115
5.913,537238
5.999,531144
6.117,525571
6.213,517739
6.34,511652
6.427,507492
6.506,500620
6.637,498289
6.727,496945
6.839,496450
6.94,492618
7.028,489645
7.156,488939
7.227,486434
7.358,485982
7.443,485402
7.537,484911
7.662,483726
7.76,483396
7.879,486132
7.947,490309
8.045,509356
8.161,526922
8.254,545604
8.38,561341
8.469,576442
8.547,592363
8.68,608776
8.759,639018
8.88,651781
8.977,662382
9.076,668340
9.196,666380
9.274,656374
9.388,645309
9.483,637404
9.579,629564
9.698,625706
9.796,624136
9.916,625201
10.004,626140
10.086,625347
10.202,624431
10.302,619046
10.419,618288
10.517,620735
10.598,622924
10.714,623658
10.804,625095
10.918,634617
11.009,649741
11.119,679698
11.226,691291
11.32,700651
11.437,709125
11.519,713691
11.618,714309
11.731,718957
11.836,734997
11.958,739472
12.03,735830
12.125,721347
12.245,704189
12.338,689437
12.458,673431
12.553,658665
12.637,628365
12.752,613380
12.849,598852
12.959,586085
13.062,573554
13.155,561703
13.274,551868
13.363,533555
13.478,524947
13.563,517426
13.661,512039
13.778,508916
13.865,502824
13.995,499393
14.071,498062
14.161,497660
14.285,494493
14.377,491970
14.498,490531
14.595,486664
14.674,481496
14.799,479616
14.884,477755
15.007,477047
15.099,476859
15.187,477529
15.314,478282
15.393,483345
15.514,501484
15.603,523460
15.702,563714
15.811,582028
15.918,598799
16.024,613525
16.115,625829
16.198,637593
16.316,648510
16.418,660404
16.538,657507
16.626,648166
16.709,637593
16.828,630620
16.92,627880
17.045,625996
17.133,623975
17.238,619113
17.354,615900
17.429,613240
17.562,612006
17.645,610841
17.733,610766
17.863,613983
17.949,618977
18.067,648058
18.15,664264
18.237,675069
18.366,685192
18.453,694917
18.576,703941
18.679,713440
18.748,725012
18.879,721961
18.958,708083
19.078,689954
19.183,669138
19.275,650519
19.396,632562
19.469,615817
19.597,586445
19.68,573938
19.78,562572
19.896,552218
19.995,543065
20.11,531775
20.191,521393
20.283,508260
20.407,503167
20.502,498982
20.616,495424
20.718,492836
20.792,490739
20.923,489741
21.01,498116
21.119,500100
21.221,498285
21.313,494835
21.448,490415
21.507,487505
21.642,485486
21.727,483012
21.812,475908
21.938,475556
22.026,474740
22.151,473749
22.227,474052
22.321,475114
22.437,473416
22.542,472345
22.656,472703
22.753,473071
22.83,474887
22.956,479596
23.038,488153
23.159,497048
23.261,508648
23.343,541867
23.471,559953
23.554,576956
23.673,591314
23.763,602844
23.863,605837
23.973,598581
24.065,590683
