seconds,data
0.0,682652
0.11,684906
0.201,686879
0.32,688784
0.416,693963
0.513,703130
0.621,713611
0.706,734736
0.84,744979
0.924,753543
1.023,760305
1.134,766460
1.232,773490
1.35,780059
1.434,785595
1.526,791591
1.64,789049
1.729,782019
1.847,774593
1.941,766366
2.041,756601
2.162,745773
2.24,724426
2.364,714267
2.455,705844
2.533,698751
2.658,692313
2.761,686746
2.88,682362
2.97,679159
3.059,672506
3.179,670834
3.26,670399
3.387,669911
3.475,670207
3.562,670343
3.686,670424
3.78,671071
3.901,669100
3.989,668005
4.066,668754
4.2,670071
4.288,675459
4.41,684021
4.502,693832
4.589,713942
4.708,722049
4.796,729986
4.92,738922
4.996,747449
5.099,754965
5.216,761549
5.306,772016
5.423,774587
5.522,776193
5.601,778557
5.737,780778
5.819,780983
5.94,777837
6.031,771481
6.116,756563
6.236,749159
6.324,743144
6.439,738112
6.537,732172
6.627,725693
6.741,718994
6.838,705737
6.956,698438
7.044,691494
7.137,686543
7.249,682593
7.353,679545
7.47,677040
7.56,675111
7.642,673772
7.763,673386
7.866,671597
7.966,671032
8.073,671557
8.144,671477
8.272,672225
8.356,672763
8.475,673545
8.566,674382
8.675,675301
8.786,678516
8.887,686949
8.991,696799
9.088,705725
9.166,722719
9.289,730743
9.381,738381
9.497,744734
9.591,749890
9.69,755600
9.811,761830
9.89,767459
10.013,775672
10.105,778307
10.189,780092
10.316,781186
10.396,781067
10.522,778862
10.615,773202
10.703,758187
10.828,750239
10.912,741748
11.032,732890
11.119,724635
11.216,718242
11.337,712506
11.425,707071
11.548,696442
11.638,691811
11.724,686744
11.85,682035
11.93,679201
12.06,677116
12.146,675787
12.237,674554
12.357,674276
12.452,674187
12.572,672812
12.66,671437
12.744,671783
12.866,671854
12.953,672370
13.078,673991
13.165,674628
13.253,675525
13.374,676457
13.466,680417
13.587,689509
13.678,699274
13.77,716967
13.885,725290
13.975,733308
14.103,740559
14.186,746285
14.276,751845
14.398,758324
14.489,763888
14.605,772552
14.699,775117
14.78,775840
14.912,774055
15.005,769942
15.118,764753
15.207,757953
15.297,743361
15.415,736083
15.512,728592
15.615,720824
15.724,712965
15.817,706551
15.935,701183
16.009,696301
16.139,687936
16.224,684761
16.314,682317
16.424,679779
16.528,676829
16.644,675714
16.744,675219
16.824,675437
16.945,675567
17.021,675664
17.16,675971
17.237,675967
17.343,674122
17.457,673015
17.551,673789
17.672,675680
17.757,679313
17.841,686300
17.954,695820
18.055,705561
18.171,713969
18.268,721501
18.352,738622
18.478,746743
18.562,754117
18.692,760290
18.772,765609
18.869,769441
18.986,772219
19.074,774994
19.198,780068
19.285,780364
19.379,777817
19.5,771789
19.576,762728
19.707,752414
19.794,742842
19.885,727760
20.014,720922
20.101,714416
20.215,708250
20.304,702447
20.394,696323
20.516,690529
20.604,686829
20.725,682071
20.816,680674
20.906,679368
21.038,678521
21.121,678127
21.244,677463
21.332,675349
21.417,674755
21.538,674715
21.621,675435
21.747,675961
21.844,676295
21.931,676835
22.046,677324
22.134,677220
22.263,676506
22.35,683474
22.425,693405
22.56,703776
22.641,713481
22.772,723127
22.863,732773
22.946,747628
23.065,752970
23.163,758758
23.271,764786
23.366,769863
23.457,774286
23.582,777761
23.669,780402
23.791,773359
23.873,763942
23.968,754495
24.086,746080
24.184,738136
24.29,730756
24.391,723621
24.474,710867
24.591,704111
24.679,697653
24.802,693263
24.896,689750
24.992,686868
25.103,684665
25.2,682848
25.318,680750
25.403,680224
25.491,678757
25.609,676808
25.71,676652
25.814,676739
25.919,677036
26.013,678651
26.132,679141
26.218,680238
26.34,683068
26.423,688181
26.512,695732
26.634,705175
26.731,714672
26.853,732434
26.932,740011
27.014,747056
27.149,753288
27.224,758194
27.35,762626
27.444,767730
27.526,776389
27.644,776903
27.734,771169
27.871,762076
27.963,752222
28.031,742162
28.166,732395
28.26,724136
28.37,710815
28.469,704871
28.555,699392
28.681,694770
28.767,691067
28.888,688074
28.977,684473
29.068,680188
29.19,679292
29.283,678925
29.394,679005
29.489,679169
29.576,679443
29.707,679897
29.79,679945
29.915,677493
30.001,678298
30.081,678462
30.21,679443
30.298,680648
30.423,681510
30.506,682913
30.599,691428
30.717,696848
30.808,704046
30.929,712989
31.035,721863
31.112,730390
31.232,738903
31.315,746806
31.44,760179
31.527,764988
31.624,769508
31.729,774905
31.827,780112
31.938,784574
32.034,787959
32.13,788543
32.243,773541
32.337,761707
32.454,750962
32.545,742757
32.643,735434
32.748,728698
32.855,722514
32.973,711134
33.048,705638
33.139,699881
33.255,694934
33.349,691759
33.468,689157
33.564,687350
33.662,686111
33.78,684356
33.864,683834
33.985,682105
34.067,680946
34.166,680927
34.277,680490
34.369,680928
34.496,682274
34.582,683020
34.676,683563
34.798,682188
34.888,681397
35.005,685630
35.086,693085
35.186,701786
35.303,719623
35.394,728656
35.517,736973
35.603,744158
35.692,751543
35.817,759583
35.911,766613
36.022,778315
36.114,782249
36.205,784442
36.321,785042
36.418,785610
36.543,786030
36.627,782367
36.714,774858
36.835,756819
36.923,747978
37.045,739044
37.128,730245
37.226,723128
37.354,717368
37.443,711961
37.556,702189
37.65,698315
37.74,694582
37.857,690361
37.942,687397
38.069,685828
38.16,684278
38.249,683534
38.378,682500
38.46,682612
38.566,683046
38.671,682137
38.76,680512
38.878,680744
38.966,680858
39.088,682341
39.178,683306
39.263,684482
39.38,686692
39.483,689822
39.587,692898
39.699,697972
39.777,706424
39.896,724709
39.984,733944
40.095,742391
40.193,749918
40.285,756814
40.398,762639
40.495,767355
40.606,776977
40.71,781310
40.794,785060
40.914,787622
41.0,787708
41.128,782711
41.212,773410
41.31,763719
41.428,748300
41.512,741212
41.642,734073
41.72,727130
41.805,720806
41.925,714402
42.033,707326
42.139,696568
42.238,693092
42.32,690680
42.439,688776
42.527,687174
42.656,686056
42.745,685329
42.832,683814
42.951,681887
43.034,681842
43.168,682007
43.259,682972
43.338,683518
43.466,684014
43.553,684559
43.672,682538
43.773,681674
43.857,683740
43.977,687030
44.068,692023
44.201,697851
44.28,705260
44.37,714249
44.491,732638
44.577,740719
44.696,749428
44.784,757990
44.878,765830
45.003,772543
45.09,777750
45.21,783051
45.296,781821
45.385,777339
45.512,770837
45.586,762675
45.712,754688
45.801,746894
45.886,739234
46.015,723565
46.104,715419
46.223,708911
46.319,703852
46.4,699489
46.525,695872
46.623,692698
46.735,688745
46.829,687106
46.917,684561
47.03,683134
47.131,682666
47.236,682269
47.344,682787
47.428,683244
47.558,683863
47.632,684324
47.766,684292
47.85,682280
47.945,681695
48.044,682882
48.154,684668
48.264,692579
48.361,696728
48.435,701849
48.557,708055
48.649,714671
48.774,720935
48.862,728723
48.961,738313
49.074,756586
49.167,764381
49.288,771300
49.382,777032
49.465,781082
49.574,783835
49.669,786451
49.786,788524
49.892,783621
49.966,775313
50.099,765624
50.184,755828
50.311,745909
50.391,736307
50.49,728421
50.597,715739
50.7,710436
50.819,705996
50.896,702613
50.997,700079
51.119,697437
51.194,694556
51.329,692113
51.417,691482
51.503,691351
51.633,690927
51.713,690550
51.834,690323
51.935,690003
52.012,688451
52.14,686526
52.224,686487
52.343,687120
52.436,689092
52.523,692808
52.655,699956
52.737,709657
52.853,727819
52.95,736375
53.044,746175
53.155,755955
53.245,764936
53.377,772812
53.463,779866
53.547,785939
53.666,791929
53.755,792477
53.873,789944
53.963,782170
54.054,772115
54.182,761765
54.266,751894
54.386,733347
54.477,724367
54.568,717145
54.681,711259
54.775,706056
54.886,701627
54.997,697903
55.07,695000
55.2,689093
55.281,686688
55.411,685763
55.495,684950
55.593,684948
55.713,684958
55.789,684838
55.907,684998
56.018,684499
56.096,682473
56.213,682492
56.306,683088
56.416,683711
56.504,685507
56.611,687308
56.718,694069
56.821,701155
56.934,708796
57.024,716797
57.113,726730
57.233,736766
57.32,746317
57.44,755423
57.536,769682
57.62,774388
57.745,777555
57.838,780387
57.959,783687
58.055,786180
58.133,785406
58.246,769880
58.345,759833
58.472,749438
58.558,739243
58.64,730411
58.77,723299
58.848,716838
58.979,710987
59.056,700857
59.16,697042
59.279,692878
59.375,688818
59.492,686626
59.581,685020
59.665,683934
59.792,682802
59.879,682446
59.999,682625
60.084,682387
60.179,680501
60.302,679870
60.388,680501
60.506,680671
60.6,683103
60.683,684121
60.808,685278
60.892,686445
61.016,686449
61.102,684843
61.191,687542
61.317,704252
61.408,713867
61.527,723493
61.616,732896
61.711,741618
61.829,749258
61.916,755342
62.041,760650
62.127,771576
62.218,776227
62.339,780117
62.419,782332
62.534,780581
62.626,773079
62.733,762823
62.852,744468
62.935,736929
63.065,730076
63.136,723271
63.238,716736
63.35,710936
63.456,704986
63.557,699005
63.664,692060
63.737,689968
63.866,688409
63.95,687060
64.064,686159
64.159,685746
64.258,685394
64.374,681955
64.477,682085
64.588,681944
64.671,682624
64.768,683682
64.875,684372
64.974,685236
65.086,686472
65.183,688114
65.283,693518
65.395,703187
65.487,713784
65.607,723430
65.688,732524
65.787,740754
65.896,754112
65.996,758857
66.11,763820
66.209,769524
66.291,774716
66.418,779936
66.506,784509
66.631,787981
66.714,789625
66.812,785801
66.93,780193
67.018,773910
67.141,766581
67.225,758956
67.31,750962
67.437,735353
67.527,727250
67.65,719691
67.739,713572
67.831,708092
67.945,703291
68.034,698994
68.162,695263
68.248,689867
68.344,686766
68.462,684324
68.545,683523
68.669,682836
68.745,682956
68.847,683264
68.975,683315
69.062,683794
69.182,683339
69.268,681412
69.362,681569
69.476,682887
69.566,685454
69.69,692345
69.78,710041
69.867,719089
69.995,727402
70.071,734266
70.199,740643
70.291,748480
70.373,757101
70.501,771734
70.588,777326
70.716,781931
70.8,785237
70.882,786488
71.005,785540
71.1,782647
71.208,775724
71.311,758301
71.397,749421
71.521,741242
71.597,732984
71.72,724232
71.814,716360
71.913,710318
72.028,700423
72.123,696503
72.229,693348
72.329,690871
72.415,688432
72.532,685286
72.623,683471
72.747,682842
72.833,682530
72.928,682783
73.047,682960
73.131,683244
73.256,683245
73.337,681526
73.434,680727
73.545,685633
73.643,691466
73.756,699119
73.858,707913
