seconds,data
0.0,708119
0.101,709106
0.216,707402
0.305,706973
0.398,721684
0.507,744011
0.618,773514
0.734,795162
0.82,795888
0.905,778917
1.022,760063
1.113,735449
1.243,728011
1.329,722983
1.41,719483
1.538,717117
1.635,713715
1.754,709936
1.836,708630
1.926,707825
2.048,708441
2.134,708618
2.257,709340
2.349,709391
2.436,707179
2.564,706791
2.651,706276
2.775,707162
2.861,707802
2.947,708372
3.075,709440
3.163,708215
3.285,706325
3.37,706440
3.459,706507
3.583,707817
3.669,716714
3.792,744713
3.876,773498
3.975,785098
4.091,778232
4.18,745602
4.306,733582
4.385,725769
4.481,721245
4.605,718289
4.688,714147
4.818,710505
4.9,708961
4.987,707663
5.112,708179
5.198,708484
5.312,709496
5.412,709345
5.502,706950
5.608,706651
5.698,706360
5.817,707458
5.927,708099
5.996,709114
6.144,710137
6.222,709010
6.347,712713
6.428,730851
6.525,788323
6.634,794731
6.738,781047
6.847,762741
6.945,747256
7.028,735334
7.154,728095
7.24,719245
7.353,716508
7.441,714990
7.532,714784
7.654,713667
7.758,711124
7.869,710164
7.958,709153
8.037,709590
8.162,709804
8.257,710589
8.37,710856
8.468,708599
8.568,707960
8.673,707703
8.761,708464
8.891,709069
8.969,709777
9.07,710976
9.186,709859
9.284,708121
9.405,708233
9.494,707686
9.572,709611
9.696,710701
9.785,712238
9.914,714901
9.991,729836
10.093,759513
10.221,775353
10.301,761775
10.42,746043
10.51,732813
10.591,724947
10.722,718638
10.81,713480
10.932,710665
11.028,708361
11.104,707499
11.233,707867
11.324,708884
11.448,708908
11.531,706779
11.621,706184
11.738,705797
11.83,706810
11.949,707434
12.027,708295
12.129,708919
12.254,707006
12.342,706224
12.461,706131
12.553,705847
12.634,707687
12.762,708469
12.846,709998
12.976,709428
13.059,711523
13.152,734339
13.267,763683
13.352,768148
13.475,756023
13.579,742085
13.651,730473
13.782,722074
13.87,717417
13.997,713758
14.075,710393
14.172,707496
14.278,707976
14.391,708654
14.489,706912
14.595,705723
14.684,705462
14.805,704871
14.883,706158
15.008,706784
15.097,707870
15.199,706509
15.3,705033
15.402,705143
15.519,704636
15.617,705280
15.699,706684
15.81,707793
15.902,707645
16.032,705498
16.117,705349
16.222,705308
16.331,710859
16.417,760641
16.537,776827
16.627,777248
16.71,762518
16.835,745150
16.925,732592
17.048,724522
17.14,719296
17.226,711920
17.347,710433
17.436,708847
17.562,706626
17.653,706218
17.744,705676
17.865,705675
17.947,706867
18.067,707819
18.156,707415
18.24,705383
18.373,705324
18.463,704916
18.58,705030
18.667,705889
18.765,707501
18.882,709197
18.972,718543
19.09,747342
19.178,781018
19.267,801184
19.39,795594
19.481,753485
19.6,739145
19.687,727308
19.778,719916
19.902,715824
19.994,712571
20.11,710444
20.202,709038
20.296,708732
20.414,706990
20.497,705475
20.62,705160
20.715,704436
20.795,704902
20.928,705448
21.011,706993
21.133,705763
21.226,704464
21.315,704769
21.436,704741
21.529,706289
21.642,713985
21.731,736320
21.825,792072
21.937,790117
22.034,773459
22.144,754876
22.25,740020
22.334,730214
22.457,724148
22.534,717008
22.664,713238
22.754,711565
22.843,710144
22.952,709704
23.05,709778
23.165,709699
23.267,710344
23.343,708097
23.463,707752
23.551,707295
23.668,707292
23.768,708087
23.866,708809
23.979,710256
24.057,729134
24.194,757848
24.282,789584
