seconds,data
0.0,567675
0.118,568346
0.213,568321
0.345,568433
0.421,568549
0.515,568908
0.625,568933
0.731,569589
0.839,573006
0.941,582300
1.017,586971
1.148,591508
1.232,595436
1.347,597472
1.432,597802
1.532,598461
1.647,604234
1.745,607676
1.868,610674
1.963,612881
2.041,613964
2.152,614632
2.244,616568
2.374,619051
2.462,622248
2.565,623160
2.677,623996
2.76,624430
2.889,624139
2.964,624977
3.064,624995
3.175,626192
3.276,627156
3.392,628279
3.471,628844
3.565,629002
3.689,628982
3.784,627207
3.905,627034
3.978,627851
4.088,628713
4.203,629642
4.291,630800
4.415,633547
4.509,636680
4.598,639946
4.715,648022
4.801,652249
4.922,656526
5.017,659517
5.104,660288
5.222,658074
5.318,654084
5.436,650197
5.524,644424
5.61,641618
5.736,639107
5.823,635993
5.945,632675
6.022,629394
6.125,627889
6.246,622888
6.338,619902
6.454,617066
6.544,614573
6.636,612120
6.752,609893
6.841,607936
6.977,606102
7.052,603153
7.145,601294
7.263,599665
7.352,598108
7.483,597189
7.57,596440
7.655,594456
7.775,589853
7.858,588525
7.977,587862
8.076,586523
8.164,585467
8.279,584551
8.378,583573
8.489,582388
8.582,578528
8.678,576284
8.8,574383
8.885,573892
8.996,573589
9.088,573784
9.189,574299
9.295,574678
9.398,574809
9.507,574660
9.609,573904
9.686,573354
9.81,574017
9.906,574180
10.016,574615
10.111,575128
10.204,575457
10.329,575567
10.403,575015
10.537,574030
10.617,574286
10.709,574705
10.823,575487
10.92,575663
11.043,576053
11.137,576272
11.217,575853
11.343,574923
11.423,574741
11.558,575104
11.638,575922
11.731,576209
11.855,576548
11.948,576713
12.067,576286
12.155,575195
12.234,574911
12.364,575465
12.449,575959
12.573,576136
12.666,576568
12.752,576988
12.876,577174
12.978,578259
13.089,581230
13.178,589905
13.268,593613
13.386,597001
13.48,600286
13.597,602573
13.683,604320
13.778,605702
13.9,613322
13.974,617331
14.101,620389
14.19,621726
14.281,620027
14.402,618375
14.485,620240
14.624,622990
14.697,625187
14.795,626818
14.92,628670
15.009,630110
15.129,630236
15.22,629962
15.312,631257
15.418,634542
15.516,635537
15.641,635973
15.726,635774
15.81,634956
15.93,634657
16.01,635560
16.139,636588
16.241,637819
16.32,638199
16.441,638227
16.53,637257
16.661,636196
16.743,635334
16.839,635896
16.944,636066
17.05,636139
17.16,635656
17.256,635044
17.337,634414
