seconds,data
0.0,982306
0.097,987889
0.215,993994
0.31,998795
0.437,1001181
0.525,991427
0.605,980807
0.729,970105
0.815,960659
0.94,952071
1.027,944476
1.118,938221
1.244,928065
1.332,924441
1.443,921691
1.534,918999
1.629,916835
1.753,916399
1.844,918466
1.977,921228
2.042,923832
2.136,922926
2.258,921010
2.358,918774
2.476,916747
2.564,915919
2.654,915647
2.765,914361
2.857,916443
2.982,923426
3.075,932739
3.169,942017
3.292,950382
3.366,957914
3.491,965173
3.574,979257
3.67,985183
3.791,988240
3.897,988080
4.003,982828
4.092,973399
4.174,961290
4.294,942836
4.39,936907
4.515,932993
4.599,930182
4.694,927869
4.809,925722
4.899,923555
5.014,921889
5.112,918441
5.207,918554
5.331,921573
5.406,927223
5.533,933996
5.616,941964
5.712,950521
5.836,958763
5.925,973520
6.046,980030
6.125,986999
6.214,993396
6.333,999713
6.43,1004544
6.546,1007862
6.646,1011006
6.725,1012497
6.849,1014300
6.94,1012305
7.06,1008080
7.15,1002917
7.251,995983
7.374,989570
7.445,974587
7.568,966628
7.652,956925
7.758,947945
7.871,940404
7.975,934764
8.083,929921
8.177,923775
8.258,921446
8.376,919751
8.474,918627
8.593,916433
8.684,914511
8.772,912601
8.891,910986
8.986,908768
9.1,909249
9.194,913226
9.281,919946
9.411,928273
9.484,935923
9.604,942983
9.698,956919
9.797,963838
9.904,970026
10.002,976017
10.124,982215
10.206,987893
10.297,993117
10.413,996072
10.519,991157
10.633,983319
10.723,974525
10.811,965776
10.928,957920
11.021,951176
11.132,947540
11.223,941884
11.333,939832
11.458,937459
11.522,934612
11.646,932086
11.738,929126
11.836,926334
11.956,924188
12.041,925309
12.167,928374
12.243,933511
12.342,939986
12.455,946684
12.552,953416
12.666,959954
12.77,973968
12.848,980628
12.983,985878
13.054,987298
13.176,983782
13.273,978212
13.368,970694
13.486,961883
13.578,943796
13.691,935535
13.776,929322
13.866,924367
13.986,919808
14.088,916080
14.216,913192
14.285,909450
14.377,907739
14.497,907215
14.593,909077
14.713,913720
14.808,920068
14.887,925668
15.006,931524
15.095,944137
15.213,950070
15.316,955111
15.412,959798
15.527,964655
15.604,969579
15.725,974563
15.819,980872
15.916,982509
16.036,980574
16.128,974646
16.256,966495
16.322,958020
16.416,949619
16.536,941945
16.629,929220
16.756,924651
16.84,921038
16.933,918390
17.054,915976
17.132,914033
17.258,912341
17.35,909985
17.453,909329
17.577,907856
17.645,906716
17.767,905849
17.854,905467
17.952,905704
18.078,908230
18.168,920087
18.291,926893
18.372,933940
18.457,939387
18.574,944168
18.669,949293
18.792,955180
18.881,967057
18.968,972223
19.09,977079
19.176,981328
19.296,985173
19.398,986539
19.483,984350
19.61,979160
19.689,965079
19.811,956216
19.893,947574
19.989,940294
20.113,933990
20.198,929570
20.326,925069
20.402,917403
20.493,914578
20.62,911853
20.712,909426
20.827,907296
20.933,905835
21.004,904609
21.131,903781
21.218,904005
21.334,909357
21.426,917370
21.529,926203
21.65,934537
21.724,942050
21.851,949359
21.938,961627
22.029,966444
22.151,971073
22.245,975697
22.371,980181
22.444,983825
22.54,986647
22.656,987862
22.751,981130
22.874,974205
22.967,965445
23.042,956123
23.173,946660
23.257,938079
23.377,930289
23.474,917820
23.563,913872
23.692,910682
23.767,908034
23.893,905562
23.996,903367
24.076,901922
24.192,901237
