seconds,data
0.0,638371
0.12,639562
0.218,639771
0.299,641328
0.428,643688
0.502,646925
0.631,650686
0.718,654373
0.812,658345
0.922,663774
1.012,672695
1.129,674327
1.226,674845
1.309,677777
1.44,682211
1.523,686931
1.647,692322
1.74,696674
1.835,697014
1.955,696439
2.034,697447
2.164,698084
2.243,699005
2.341,699345
2.459,699370
2.54,693843
2.672,692347
2.763,692581
2.845,692590
2.973,693462
3.057,693548
3.184,692475
3.268,689929
3.363,685557
3.481,686412
3.573,686708
3.691,688114
3.782,689232
3.87,689812
4.002,688567
4.079,683674
4.205,683604
4.291,684481
4.378,685944
4.505,687285
4.594,687730
4.714,687475
4.803,685297
4.893,682231
4.999,683249
5.104,684167
5.22,685516
5.31,686165
5.4,686372
5.526,685292
5.618,681254
5.743,681937
5.822,682813
5.909,683771
6.032,684817
6.122,685005
6.245,685172
6.337,683505
6.419,679659
6.543,680494
6.634,681288
6.755,682430
6.842,683077
6.938,683147
7.061,683040
7.15,680812
7.262,678696
7.354,676661
7.442,673773
7.553,670927
7.656,667645
7.77,664504
7.867,661044
7.959,653419
8.08,650470
8.161,648140
8.287,645913
8.37,643892
8.469,641813
8.573,640365
8.672,638142
8.782,637180
8.888,636641
8.974,636963
9.084,637505
9.178,638108
9.295,638540
9.382,639269
9.496,638754
9.602,638045
9.692,638023
9.81,638744
9.902,639514
9.994,640260
10.108,640639
10.207,641167
10.315,640033
10.408,639816
10.497,641584
10.622,644290
10.709,648761
10.834,654026
10.912,658620
11.005,665185
11.13,666423
11.221,666905
11.336,667764
11.434,668625
11.509,669439
11.641,669743
11.732,669245
11.85,665396
11.938,664666
12.036,665034
12.147,665741
12.243,666927
12.367,666914
12.452,665768
12.542,663017
12.664,663903
12.752,664490
12.867,665810
12.963,666111
13.058,665006
13.176,663345
13.26,662200
13.382,663425
13.474,664703
13.565,665356
13.683,664991
13.764,663677
13.896,661999
13.983,662136
14.073,663534
14.19,664482
14.286,664832
14.398,664479
14.489,662996
14.586,661314
14.696,660905
14.789,661372
14.915,663183
15.003,663460
15.091,663959
15.207,663585
15.308,662176
15.419,660512
15.521,659678
15.599,661166
15.729,662494
15.811,663215
15.932,663894
16.009,663547
16.109,662542
16.223,661515
16.328,661896
16.43,663021
16.538,663839
16.616,664260
16.734,664432
16.823,663337
16.941,661809
17.026,660853
17.131,661619
17.248,662803
17.341,663269
17.457,663650
17.55,663513
17.639,662804
17.75,661393
17.849,660858
17.962,665865
18.054,670277
18.15,674455
18.276,678074
18.358,680681
18.486,682359
18.571,684957
