seconds,data
0.0,0.3419999999999999
0.047,0.3455
0.092,0.34175
0.118,0.3559999999999998
0.161,0.33675
0.217,0.3239999999999999
0.248,0.3472499999999999
0.283,0.3567499999999999
0.316,0.3480000000000001
0.372,0.3254999999999999
0.4,0.36275
0.448,0.3455000000000001
0.492,0.3667499999999999
0.519,0.3947499999999999
0.563,0.3827500000000001
0.611,0.44075
0.639,0.4514999999999999
0.687,0.4129999999999999
0.719,0.38575
0.768,0.34075
0.822,0.3724999999999999
0.837,0.3444999999999999
0.889,0.3405
0.925,0.3065
0.962,0.34875
1.012,0.3632500000000001
1.056,0.3807500000000001
1.079,0.41275
1.117,0.4375
1.159,0.5359999999999999
1.208,0.5565
1.242,0.414
1.284,0.3712500000000001
1.327,0.3957499999999999
1.37,0.3442499999999999
1.418,0.312
1.439,0.3134999999999999
1.491,0.32975
1.545,0.3955000000000001
1.561,0.4395
1.605,0.4015000000000001
1.64,0.4669999999999999
1.682,0.5435000000000001
1.731,0.4592499999999998
1.759,0.45875
1.802,0.4202499999999999
1.844,0.3892500000000001
1.89,0.3385000000000001
1.922,0.3172500000000001
1.969,0.27825
2.008,0.3085
2.053,0.364
2.082,0.42425
2.142,0.44575
2.162,0.46225
2.176,0.5040000000000001
2.203,0.4759999999999998
2.264,0.4572500000000001
2.278,0.435
2.332,0.3714999999999999
2.359,0.3635
2.41,0.3212499999999999
2.441,0.2862499999999999
2.484,0.29825
2.536,0.307
2.563,0.3289999999999999
2.605,0.4287499999999999
2.641,0.4682499999999999
2.69,0.4975
2.733,0.5032500000000001
2.762,0.475
2.799,0.4727500000000001
2.863,0.3905
2.878,0.3535
2.933,0.3229999999999999
2.962,0.27425
3.002,0.2627499999999999
3.05,0.308
3.079,0.3484999999999999
3.129,0.4015000000000001
3.16,0.41775
3.199,0.4580000000000001
3.251,0.5337499999999998
3.282,0.4887499999999999
3.324,0.51925
3.364,0.4945
3.401,0.4169999999999999
3.466,0.3567499999999999
3.481,0.344
3.525,0.30625
3.581,0.2807499999999999
3.599,0.3127500000000001
3.64,0.364
3.679,0.3924999999999999
3.733,0.42925
3.767,0.501
3.799,0.5449999999999998
3.856,0.48875
3.885,0.43625
3.929,0.3734999999999999
3.963,0.3590000000000001
4.0,0.3375000000000001
4.052,0.3064999999999999
4.085,0.2077500000000001
4.126,0.2504999999999999
4.183,0.28325
4.202,0.39175
4.243,0.42425
4.302,0.4752499999999999
4.321,0.4892500000000001
4.362,0.47475
4.411,0.45125
4.444,0.45675
4.478,0.3632500000000001
4.531,0.3119999999999999
4.566,0.28075
4.599,0.25275
4.642,0.262
4.684,0.2867499999999999
4.717,0.3077499999999999
4.765,0.3865
4.799,0.488
4.839,0.5022500000000001
4.893,0.5250000000000001
4.918,0.5455000000000001
4.962,0.501
4.998,0.4235000000000001
5.042,0.3685
5.082,0.293
5.122,0.21575
5.165,0.2602500000000001
5.199,0.2537499999999999
5.238,0.268
5.299,0.366
5.331,0.4209999999999999
5.359,0.4445000000000001
5.405,0.4972499999999999
5.438,0.51575
5.5,0.48125
5.524,0.4684999999999999
5.57,0.3819999999999999
5.623,0.296
5.641,0.2784999999999999
5.684,0.215
5.72,0.2574999999999999
5.762,0.2764999999999999
5.802,0.3229999999999999
5.844,0.39575
5.887,0.44975
5.92,0.4725000000000001
5.971,0.4684999999999999
6.001,0.4977499999999999
6.048,0.44775
6.089,0.4105
6.12,0.3329999999999999
6.158,0.28575
6.222,0.2494999999999999
6.239,0.2457499999999999
6.289,0.265
6.34,0.2895000000000001
6.36,0.33925
6.412,0.3917499999999999
6.44,0.4702499999999999
6.481,0.5022500000000001
6.519,0.50225
6.562,0.4885
6.605,0.44375
6.641,0.4155
6.689,0.3315
6.72,0.2670000000000001
6.772,0.258
6.809,0.2674999999999999
6.843,0.2815000000000001
6.883,0.3352499999999999
6.937,0.3765
6.96,0.4132500000000001
7.003,0.4744999999999999
7.048,0.4992500000000001
7.083,0.4585000000000001
7.128,0.4537500000000001
7.159,0.41425
7.212,0.37975
7.238,0.31725
7.293,0.2987499999999999
7.319,0.2719999999999999
7.358,0.27975
7.408,0.30525
7.439,0.32175
7.488,0.3862500000000001
7.545,0.46075
7.56,0.4724999999999999
7.609,0.4770000000000001
7.662,0.4707500000000001
7.679,0.4527500000000001
7.722,0.40025
7.763,0.3855
7.806,0.3249999999999999
7.85,0.293
7.865,0.273
7.893,0.307
7.92,0.3087500000000001
7.964,0.3272499999999999
8.01,0.423
