seconds,data
0.0,1.3115
0.054,1.299
0.09,1.2835
0.119,1.29475
0.18,1.28975
0.209,1.3005
0.244,1.301
0.3,1.30675
0.338,1.287
0.362,1.30275
0.424,1.3115
0.446,1.30275
0.48,1.2975
0.559,1.29275
0.582,1.314
0.598,1.31075
0.656,1.28875
0.695,1.2835
0.725,1.2905
0.791,1.31625
0.805,1.3039999999999998
0.847,1.2905
0.908,1.2947499999999998
0.926,1.29975
0.959,1.29825
1.022,1.2805
1.053,1.26475
1.075,1.2835
1.138,1.2865
1.164,1.26875
1.201,1.28525
1.237,1.2675
1.292,1.29975
1.321,1.28675
1.359,1.30125
1.422,1.2995
1.44,1.2857500000000002
1.465,1.29975
1.538,1.28725
1.561,1.302
1.585,1.27925
1.678,1.27
1.689,1.30475
1.705,1.28625
1.772,1.2695
1.801,1.27475
1.832,1.291
1.887,1.27825
1.922,1.3
1.951,1.3045
2.01,1.2967499999999998
2.041,1.2985
2.073,1.28875
2.138,1.2984999999999998
2.159,1.28525
2.184,1.28375
2.262,1.26675
2.284,1.28025
2.305,1.3015
2.378,1.296
2.399,1.2645
2.434,1.281
2.487,1.298
2.524,1.276
2.554,1.3015
2.583,1.289
2.652,1.29275
2.671,1.3035
2.695,1.2765
2.773,1.31825
2.792,1.28675
2.815,1.283
2.892,1.27375
2.915,1.27875
2.938,1.268
3.004,1.268
3.026,1.2807499999999998
3.067,1.28625
3.121,1.302
3.156,1.3
3.184,1.28775
3.255,1.3075
3.264,1.29875
3.301,1.291
3.374,1.295
3.384,1.2657500000000002
3.414,1.26775
3.495,1.30925
3.518,1.26475
3.534,1.2835
3.613,1.2875
3.636,1.27875
3.656,1.2715
3.719,1.2895
3.751,1.29325
3.783,1.28925
3.845,1.3005
3.871,1.3015
3.907,1.28825
3.961,1.29925
3.993,1.30625
4.022,1.3010000000000002
4.048,1.2815
4.124,1.28
4.148,1.2845
4.165,1.2970000000000002
4.23,1.284
4.261,1.28375
4.29,1.27025
4.352,1.281
4.378,1.2755
4.409,1.29075
4.481,1.274
4.498,1.292
4.526,1.292
4.604,1.2792499999999998
4.624,1.286
4.646,1.2855
4.721,1.28575
4.745,1.26525
4.765,1.26925
4.83,1.26775
4.865,1.2675
4.893,1.28375
4.952,1.2985
4.977,1.2835
5.011,1.28425
5.078,1.26825
5.097,1.28425
5.135,1.27675
5.195,1.282
5.22,1.2875
5.245,1.2905
5.325,1.2999999999999998
5.349,1.29625
5.365,1.286
5.444,1.26675
5.464,1.28725
5.484,1.2897500000000002
5.527,1.3075
5.589,1.29075
5.606,1.288
5.645,1.2865000000000002
5.699,1.312
5.737,1.29125
5.757,1.3095
5.828,1.29775
5.851,1.3135
5.875,1.29375
5.952,1.29375
5.976,1.296
5.994,1.296
6.058,1.3010000000000002
6.09,1.2965
6.12,1.299
6.179,1.26325
6.213,1.2975
6.244,1.2767499999999998
6.307,1.3045
6.329,1.27925
6.355,1.29725
6.422,1.3032499999999998
6.456,1.27775
6.48,1.298
6.555,1.3090000000000002
