seconds,data
0.0,495713
0.102,496964
0.183,499924
0.302,505825
0.39,521354
0.513,548323
0.611,582156
0.707,619681
0.816,642681
0.9,615828
1.02,615972
1.113,631214
1.214,632986
1.33,594841
1.42,559543
1.548,567164
1.619,544510
1.715,528366
1.836,570844
1.92,570606
2.046,559489
2.139,578133
2.227,597174
2.346,640375
2.438,659990
2.551,678929
2.649,689690
2.737,692987
2.869,694547
2.94,706314
3.067,712368
3.153,716073
3.247,728785
3.372,713588
3.469,667261
3.59,637284
3.658,625443
3.748,627805
3.867,581062
3.972,595461
4.091,634477
4.187,611681
4.265,587870
4.379,581995
4.47,599492
4.595,645550
4.694,658859
4.776,667615
4.91,678262
4.995,691105
5.097,699448
5.192,678025
5.282,649343
5.404,696881
5.506,702819
5.62,692871
5.7,670463
5.788,656428
5.913,634401
5.999,606528
6.135,589489
6.214,558850
6.308,544705
6.418,520269
6.509,506761
6.63,540210
6.733,541843
6.816,530440
6.947,535130
7.022,527097
7.147,518681
7.238,515771
7.331,534299
7.447,559073
7.54,580949
7.66,599567
7.74,639224
7.828,658077
7.949,670912
8.049,675753
8.171,651823
8.268,621776
8.346,630334
8.467,631277
8.557,624394
8.665,624890
8.762,626045
8.868,624428
8.991,619764
9.063,600506
9.181,582228
9.269,565040
9.368,586170
9.488,593604
9.589,601716
9.702,591478
9.783,568434
9.869,550365
10.001,493499
10.089,472793
10.199,465685
10.299,466790
10.385,466430
10.5,474667
10.594,505702
10.712,531191
10.809,452955
10.907,450090
11.016,476223
11.101,436474
11.237,397154
11.308,426086
11.411,451362
11.532,422410
11.613,456494
11.741,468842
11.826,466767
11.914,466415
12.032,472656
12.133,490355
12.241,512734
12.349,564707
12.423,586778
12.546,603828
12.634,620405
12.749,633094
12.849,623052
12.936,605543
13.059,603570
13.138,590646
13.257,550616
13.354,499502
13.454,473556
13.566,467369
13.668,477910
13.787,493374
13.869,421423
13.957,393691
14.073,440370
14.167,456948
14.294,401427
14.386,378751
14.466,404229
14.586,415693
14.668,393515
14.795,448617
14.893,489003
14.991,517180
15.106,544496
15.178,569185
15.307,598265
15.395,646767
15.489,662251
15.61,675652
15.693,685093
15.816,691856
15.906,695012
15.995,686781
16.117,652817
16.215,539337
16.323,517338
16.433,473696
16.501,429394
16.625,432977
16.709,428069
16.827,427439
16.937,427551
17.013,383967
17.142,383032
17.219,424873
17.338,434534
17.44,441394
17.53,452999
17.651,464990
17.745,516788
17.861,551292
17.938,583530
18.032,600040
18.152,613656
18.242,630515
18.367,645328
18.462,670530
18.544,684454
18.673,695009
18.754,682570
18.876,626436
18.97,565088
19.056,536836
19.177,519657
19.261,448251
19.385,465698
19.471,471377
19.571,440444
19.69,427486
19.777,441588
19.907,470861
19.976,492793
20.072,492817
20.189,501558
20.293,515997
20.404,532176
20.507,547426
20.587,565265
20.708,583770
20.786,622687
20.91,641200
21.002,656971
21.105,670730
21.218,682000
21.306,692616
21.418,700994
21.512,638328
21.608,562706
21.734,521493
21.818,535332
21.941,543793
22.019,500480
22.109,482272
22.226,515389
22.331,482962
22.448,419994
22.553,420027
22.629,475874
22.75,503955
22.835,500628
22.949,501030
23.045,501865
23.139,500973
23.265,499350
23.349,513710
23.463,535607
23.551,557459
23.648,578345
23.762,599619
23.87,634691
23.987,638250
24.057,643378
24.151,654488
24.277,657908
24.373,644693
24.488,614530
24.575,603740
24.665,577194
24.781,546466
24.872,501376
24.991,481318
25.086,469122
25.186,432227
25.301,371856
25.378,396436
25.507,343022
25.596,286077
25.693,310664
25.814,355117
25.896,379885
26.032,356687
26.098,283803
26.188,306693
26.308,336623
26.409,292995
26.518,285636
26.627,313770
26.708,297621
26.829,281477
26.922,386518
27.031,416175
27.136,439723
27.214,469712
27.343,508858
27.421,543599
27.548,568632
27.626,589345
27.735,591512
27.856,503627
27.935,419147
28.063,402426
28.138,421494
28.227,405812
28.353,378127
28.45,414004
28.572,476779
28.661,521955
28.74,500506
28.86,410675
28.955,370720
29.068,375060
29.161,378585
29.264,393171
29.38,423379
29.459,461680
29.587,499098
29.678,535642
29.767,567399
29.884,577927
29.981,428263
30.115,393040
30.183,384825
30.269,371613
30.393,361509
30.484,365091
30.609,398871
30.691,447886
30.785,526661
30.904,558410
30.991,547730
31.107,475396
