seconds,data
0.0,491523
0.094,492317
0.185,496525
0.304,511241
0.406,531558
0.532,550479
0.604,567728
0.695,597399
0.814,609531
0.917,623248
1.032,638912
1.128,653286
1.204,665997
1.324,676811
1.415,685814
1.538,696443
1.632,700675
1.729,706381
1.845,711908
1.939,716930
2.049,722347
2.129,725173
2.233,719941
2.353,702917
2.451,682610
2.57,662869
2.64,642785
2.73,625334
2.856,612099
2.949,600870
3.075,577032
3.165,565967
3.245,557013
3.377,547319
3.457,538049
3.576,530611
3.67,525142
3.777,518571
3.879,517539
3.971,514992
4.086,512276
4.176,505881
4.275,499468
4.384,496361
4.481,493519
4.606,489733
4.688,488893
4.78,488974
4.891,488274
5.003,484605
5.118,484505
5.208,486991
5.286,488643
5.405,489198
5.496,489935
5.617,491787
5.705,492576
5.811,489152
5.922,488027
6.005,490058
6.125,492514
6.217,492640
6.309,493548
6.432,494969
6.525,492927
6.648,487107
6.725,486713
6.817,490544
6.936,491788
7.024,492196
7.155,493916
7.246,494776
7.332,490220
7.446,486801
7.531,489035
7.658,492317
7.744,493026
7.852,494357
7.959,495751
8.04,492478
8.17,487426
8.255,488155
8.351,492023
8.466,493010
8.563,494014
8.689,495268
8.77,491417
8.855,487003
8.979,488425
9.073,490450
9.19,493201
9.289,494754
9.36,494735
9.488,489877
9.575,488366
9.689,490478
9.787,492122
9.88,493707
9.996,497130
10.087,495731
10.21,496056
10.302,506118
10.388,519214
10.513,532606
10.609,547657
10.726,579813
10.811,592843
10.891,606808
11.015,619873
11.112,630337
11.228,640057
11.331,648828
11.408,655440
11.525,669066
11.618,677330
11.737,684910
11.835,692546
11.932,698084
12.047,701887
12.127,705101
12.252,712455
12.335,714253
12.433,714988
12.55,713408
12.639,705858
12.757,690888
12.852,671987
12.933,652111
13.055,616841
13.144,602334
13.273,588002
13.37,574957
13.446,564786
13.566,556834
13.656,549340
13.778,535266
13.872,530390
13.962,524610
14.092,517109
14.161,512678
14.284,509566
14.381,506570
14.464,504301
14.591,500584
14.687,496025
14.808,494352
14.888,493209
14.982,491620
15.094,493245
15.192,495076
15.311,495918
15.398,496843
15.479,497520
15.61,493224
15.702,489535
15.815,490094
15.91,490968
16.001,491491
16.13,491676
16.207,492865
16.329,493694
16.415,489932
16.514,485967
16.625,487168
16.719,490141
16.841,490553
16.923,491870
17.016,493239
17.137,494040
17.238,489701
17.354,485672
17.453,486938
17.523,488878
17.651,490581
17.73,491713
17.853,493124
17.941,491668
18.047,486316
18.165,484603
18.245,486972
18.378,488816
18.464,490146
18.548,491013
18.67,492236
18.77,489270
18.894,484151
18.958,484440
19.055,486497
19.171,488531
19.271,490204
19.383,491972
19.477,491796
19.569,486266
19.69,483277
19.776,485230
19.893,486944
19.995,489184
20.092,490838
20.204,492444
20.289,489735
20.41,484802
20.496,485556
20.585,487896
20.712,492207
20.811,495580
20.928,501865
21.002,509291
21.093,519927
21.214,536048
21.317,552040
21.436,566379
21.53,595557
21.606,607942
21.718,618961
21.816,630423
21.94,642343
22.034,654133
22.115,665102
22.241,680408
22.322,686694
22.443,693356
22.535,699993
22.635,704119
22.743,706272
22.839,706883
22.963,707403
23.046,706608
23.134,709081
23.254,709734
23.351,707607
23.472,701719
23.557,687160
23.649,664708
23.772,626809
23.855,611529
23.969,595880
24.071,581564
24.171,567474
24.289,551497
24.366,537829
24.485,527126
24.575,511526
24.67,506154
24.79,501895
24.89,498710
25.011,494430
25.085,488785
25.177,486724
25.296,486404
25.386,485391
25.512,485813
25.602,486625
25.68,487292
25.799,484715
25.895,481141
26.014,481921
26.105,484093
26.198,483871
26.322,484230
26.401,485641
26.527,486905
26.613,483572
26.716,479317
26.835,480478
26.926,483874
27.048,484882
27.128,485638
27.215,487238
27.339,488317
27.432,483887
27.549,479712
27.651,483913
27.724,485297
27.849,486320
27.935,487397
28.054,489207
28.161,489469
28.243,483900
28.356,480619
28.438,484491
28.576,485955
28.656,486937
28.749,488275
28.873,490309
28.975,488595
29.086,483412
29.159,484501
29.256,485890
29.376,487642
29.474,488944
29.595,490797
29.678,489457
